target,occurrence,person,audio,subid,trial,leftpic,rightpic,correct,subject
K1,1,parent,61_09,61,9,B1,K1,Y,84
A1,2,child,05_37,5,37,A1,H1,Y,85
B1,2,child,58_31,58,31,B1,I1,Y,85
C1,2,child,09_37,9,37,A1,C1,Y,85
D1,2,parent,70_36,70,36,D1,E1,Y,85
E1,2,parent,44_32,44,32,E1,B1,Y,85
F1,1,parent,57_07,57,7,B1,F1,Y,85
G1,1,parent,34_09,34,9,D1,G1,Y,85
H1,1,parent,07_03,7,3,H1,E1,Y,85
I1,1,child,56_06,56,6,C1,I1,Y,85
K1,1,child,32_06,32,6,F1,K1,Y,85
A1,2,parent,32_34,32,34,H1,A1,Y,86
B1,2,parent,67_34,67,34,I1,B1,Y,86
C1,2,parent,72_40,72,40,C1,I1,Y,86
D1,1,parent,07_05,7,5,F1,D1,Y,86
E1,1,parent,72_07,72,7,E1,H1,Y,86
F1,1,child,67_08,67,8,F1,B1,Y,86
G1,1,child,70_02,70,2,C1,G1,Y,86
H1,1,child,56_10,56,10,H1,D1,Y,86
I1,2,child,14_37,14,37,I1,E1,Y,86
K1,2,child,39_39,39,39,K1,D1,Y,86
A1,1,parent,55_05,55,5,A1,D1,Y,87
B1,1,parent,70_03,70,3,B1,D1,Y,87
C1,1,parent,57_03,57,3,E1,C1,Y,87
D1,1,child,16_02,16,2,K1,D1,N,87
E1,1,child,61_35,61,35,E1,B1,Y,87
F1,2,child,72_31,72,31,F1,B1,Y,87
G1,2,child,42_37,42,37,E1,G1,Y,87
H1,2,child,54_39,54,39,C1,H1,Y,87
I1,2,parent,56_34,56,34,B1,I1,Y,87
K1,2,parent,49_36,49,36,D1,K1,Y,87
A1,1,child,32_08,32,8,A1,D1,Y,88
B1,1,child,47_04,47,4,I1,B1,Y,88
C1,1,child,05_33,5,33,C1,A1,Y,88
D1,2,child,75_33,75,33,H1,D1,Y,88
E1,2,child,53_33,53,33,B1,E1,Y,88
G1,2,parent,52_40,52,40,G1,K1,Y,88
H1,2,parent,45_36,45,36,H1,C1,Y,88
I1,1,parent,07_01,7,1,C1,I1,Y,88
K1,1,parent,73_01,73,1,B1,K1,Y,88
A1,2,child,42_31,42,31,A1,K1,Y,89
B1,2,child,65_37,65,37,B1,I1,Y,89
C1,2,child,32_31,32,31,A1,C1,Y,89
D1,2,parent,74_34,74,34,D1,K1,Y,89
E1,2,parent,34_32,34,32,E1,H1,Y,89
F1,1,parent,64_01,64,1,K1,F1,Y,89
G1,1,parent,36_05,36,5,E1,G1,Y,89
H1,1,parent,40_07,40,7,C1,H1,Y,89
I1,1,child,34_06,34,6,B1,I1,Y,89
K1,1,child,75_04,75,4,K1,F1,Y,89
A1,2,parent,04_34,4,34,D1,A1,Y,90
B1,2,parent,74_36,74,36,B1,D1,Y,90
C1,2,parent,75_32,75,32,C1,A1,Y,90
D1,1,parent,53_03,53,3,H1,D1,Y,90
E1,1,parent,17_03,17,3,E1,I1,N,90
F1,1,child,20_10,20,10,F1,C1,Y,90
G1,1,child,17_08,17,8,G1,D1,Y,90
H1,1,child,49_33,49,33,H1,E1,Y,90
I1,2,child,35_33,35,33,I1,B1,Y,90
K1,2,child,70_35,70,35,F1,K1,Y,90
A1,1,parent,33_09,33,9,K1,A1,Y,91
B1,1,parent,28_01,28,1,D1,B1,Y,91
C1,1,parent,68_01,68,1,A1,C1,N,91
D1,1,child,18_06,18,6,F1,D1,Y,91
E1,1,child,40_04,40,4,E1,H1,Y,91
F1,2,child,39_35,39,35,G1,F1,Y,91
G1,2,child,36_31,36,31,G1,D1,Y,91
H1,2,child,47_31,47,31,H1,D1,Y,91
I1,2,parent,18_38,18,38,E1,I1,Y,91
K1,2,parent,16_40,16,40,B1,K1,Y,91
A1,1,child,53_10,53,10,A1,I1,Y,92
B1,1,child,37_06,37,6,K1,B1,Y,92
C1,1,child,56_08,56,8,C1,A1,Y,92
D1,2,child,52_39,52,39,D1,F1,Y,92
E1,2,child,50_33,50,33,A1,E1,Y,92
G1,2,parent,26_32,26,32,G1,D1,Y,92
H1,2,parent,58_38,58,38,H1,C1,Y,92
I1,1,parent,16_07,16,7,I1,E1,Y,92
K1,1,parent,57_05,57,5,K1,D1,Y,92
A1,2,child,18_37,18,37,A1,I1,Y,93
B1,2,child,39_31,39,31,I1,B1,Y,93
C1,2,child,69_35,69,35,C1,A1,Y,93
D1,2,parent,54_38,54,38,D1,H1,Y,93
E1,2,parent,64_40,64,40,H1,E1,Y,93
F1,1,parent,48_01,48,1,F1,B1,Y,93
G1,1,parent,45_09,45,9,G1,K1,Y,93
H1,1,parent,47_07,47,7,E1,H1,Y,93
I1,1,child,26_04,26,4,I1,A1,Y,93
K1,1,child,43_02,43,2,F1,K1,Y,93
A1,2,parent,66_36,66,36,A1,K1,Y,94
B1,2,child,45_37,45,37,B1,I1,Y,94
C1,2,child,12_31,12,31,H1,C1,Y,94
D1,1,parent,47_05,47,5,H1,D1,Y,94
E1,1,parent,66_05,66,5,E1,A1,Y,94
F1,1,child,49_06,49,6,F1,C1,Y,94
G1,1,child,71_04,71,4,G1,E1,Y,94
H1,1,child,17_04,17,4,H1,C1,Y,94
I1,2,child,37_39,37,39,I1,A1,Y,94
K1,2,child,10_39,10,39,B1,K1,Y,94
A1,1,parent,75_07,75,7,K1,A1,Y,95
B1,1,child,14_04,14,4,B1,D1,Y,95
C1,1,child,51_02,51,2,I1,C1,Y,95
D1,1,child,56_02,56,2,D1,K1,Y,95
E1,1,child,42_10,42,10,E1,H1,Y,95
F1,2,child,12_37,12,37,F1,G1,Y,95
