target,occurrence,person,audio,subid,trial,leftpic,rightpic,correct,subject
H1,2,child,37_35,37,35,A1,H1,Y,7
I1,1,child,11_10,11,10,B1,I1,Y,7
K1,2,child,14_39,14,39,F1,K1,Y,7
A1,1,child,50_04,50,4,I1,A1,Y,8
B1,1,child,35_06,35,6,C1,B1,N,8
C1,2,parent,50_36,50,36,C1,A1,Y,8
D1,1,parent,21_05,21,5,D1,F1,Y,8
E1,2,parent,65_38,65,38,B1,E1,Y,8
F1,2,parent,38_34,38,34,F1,K1,Y,8
G1,2,parent,59_36,59,36,E1,G1,Y,8
H1,1,parent,37_07,37,7,H1,E1,Y,8
I1,2,parent,11_36,11,36,I1,C1,Y,8
K1,1,child,09_10,9,10,D1,K1,Y,8
A1,2,parent,52_32,52,32,I1,A1,Y,9
B1,2,parent,64_36,64,36,I1,B1,Y,9
C1,1,child,28_06,28,6,I1,C1,Y,9
D1,2,child,59_39,59,39,D1,K1,Y,9
E1,1,parent,18_05,18,5,A1,E1,Y,9
F1,1,parent,75_01,75,1,B1,F1,Y,9
G1,1,child,26_02,26,2,G1,K1,N,9
H1,2,child,57_37,57,37,E1,H1,Y,9
I1,1,child,72_06,72,6,C1,I1,Y,9
K1,2,parent,12_38,12,38,K1,F1,Y,9
A1,1,child,59_04,59,4,A1,K1,Y,10
B1,1,child,18_08,18,8,D1,B1,Y,10
C1,2,parent,33_34,33,34,C1,H1,Y,10
D1,1,parent,51_09,51,9,E1,D1,Y,10
E1,2,child,21_37,21,37,A1,E1,N,10
F1,2,parent,14_34,14,34,F1,K1,Y,10
G1,2,parent,44_34,44,34,C1,G1,Y,10
H1,1,parent,50_07,50,7,E1,H1,Y,10
I1,2,parent,68_40,68,40,B1,I1,Y,10
K1,1,child,65_10,65,10,K1,B1,Y,10
A1,2,parent,36_38,36,38,A1,K1,Y,11
B1,2,parent,18_40,18,40,K1,B1,Y,11
C1,1,child,37_02,37,2,C1,H1,Y,11
D1,2,child,12_39,12,39,H1,D1,Y,11
E1,1,parent,52_03,52,3,E1,A1,N,11
F1,1,parent,43_09,43,9,F1,C1,Y,11
G1,1,child,52_08,52,8,E1,G1,Y,11
H1,2,child,36_39,36,39,C1,H1,Y,11
I1,1,child,73_08,73,8,I1,B1,Y,11
K1,2,parent,18_34,18,34,K1,B1,Y,11
A1,1,child,09_08,9,8,K1,A1,Y,12
B1,1,child,53_04,53,4,B1,D1,Y,12
C1,2,parent,46_32,46,32,I1,C1,N,12
D1,1,parent,61_07,61,7,K1,D1,Y,12
E1,2,child,09_33,9,33,I1,E1,Y,12
F1,2,child,11_39,11,39,F1,C1,Y,12
G1,2,parent,51_34,51,34,E1,G1,Y,12
H1,1,parent,57_09,57,9,H1,A1,Y,12
I1,2,parent,55_36,55,36,C1,I1,Y,12
K1,1,child,54_02,54,2,K1,F1,Y,12
A1,2,parent,57_38,57,38,A1,H1,Y,13
B1,2,parent,71_38,71,38,K1,B1,N,13
C1,1,child,36_10,36,10,C1,I1,Y,13
D1,2,child,38_31,38,31,D1,E1,N,13
E1,1,parent,28_05,28,5,E1,I1,Y,13
F1,1,parent,69_40,69,40,F1,C1,Y,13
G1,1,child,53_08,53,8,G1,E1,Y,13
H1,2,child,15_33,15,33,D1,H1,Y,13
I1,1,child,47_02,47,2,E1,I1,Y,13
K1,2,parent,75_38,75,38,K1,B1,Y,13
A1,1,child,16_06,16,6,A1,K1,Y,14
B1,1,child,07_04,7,4,K1,B1,Y,14
C1,2,parent,47_36,47,36,C1,I1,Y,14
D1,1,parent,37_03,37,3,F1,D1,Y,14
E1,1,child,27_02,27,2,I1,E1,Y,14
F1,2,child,54_35,54,35,K1,F1,Y,14
G1,2,parent,39_34,39,34,G1,E1,Y,14
H1,1,parent,21_07,21,7,H1,D1,Y,14
I1,2,parent,47_40,47,40,I1,A1,Y,14
K1,2,child,73_31,73,31,K1,D1,Y,14
A1,2,parent,07_38,7,38,K1,A1,Y,15
B1,2,parent,36_32,36,32,B1,C1,Y,15
C1,1,parent,43_07,43,7,C1,H1,Y,15
D1,2,child,43_39,43,39,D1,E1,Y,15
E1,2,child,68_37,68,37,A1,E1,N,15
F1,1,parent,17_01,17,1,C1,F1,Y,15
G1,1,parent,75_05,75,5,D1,G1,Y,15
H1,2,child,14_31,14,31,H1,A1,Y,15
I1,1,child,43_10,43,10,I1,C1,Y,15
K1,1,child,18_04,18,4,K1,A1,Y,15
A1,2,parent,58_40,58,40,I1,A1,Y,16
B1,2,child,13_39,13,39,C1,B1,Y,16
C1,1,child,21_06,21,6,C1,A1,N,16
D1,1,parent,46_07,46,7,D1,F1,Y,16
E1,1,parent,35_07,35,7,B1,E1,Y,16
F1,2,child,57_39,57,39,C1,F1,Y,16
G1,1,child,44_06,44,6,D1,G1,Y,16
H1,1,parent,74_01,74,1,H1,A1,Y,16
I1,2,parent,64_32,64,32,C1,I1,Y,16
K1,2,parent,31_38,31,38,D1,K1,Y,16
A1,1,parent,17_07,17,7,A1,K1,Y,17
B1,1,child,68_06,68,6,I1,B1,Y,17
C1,2,parent,38_32,38,32,C1,A1,Y,17
D1,2,child,27_39,27,39,F1,D1,Y,17
E1,1,child,15_06,15,6,E1,B1,N,17
F1,2,parent,53_40,53,40,K1,F1,Y,17
G1,2,parent,61_32,61,32,G1,C1,Y,17
H1,2,child,66_33,66,33,H1,A1,Y,17
I1,1,child,38_06,38,6,I1,A1,Y,17
K1,1,parent,28_09,28,9,A1,K1,Y,17
A1,1,child,07_08,7,8,A1,H1,Y,18
B1,2,parent,33_36,33,36,B1,K1,Y,18
C1,2,parent,20_40,20,40,A1,C1,Y,18
D1,2,parent,65_40,65,40,H1,D1,Y,18
E1,2,child,39_37,39,37,E1,H1,Y,18
F1,1,parent,39_01,39,1,F1,K1,Y,18
G1,1,parent,42_01,42,1,G1,D1,Y,18
H1,1,parent,55_03,55,3,A1,H1,Y,18
I1,2,parent,36_36,36,36,I1,E1,Y,18
K1,1,child,15_04,15,4,B1,K1,N,18
A1,2,parent,64_34,64,34,I1,A1,Y,19
B1,1,parent,52_05,52,5,D1,B1,Y,19
C1,1,parent,09_09,9,9,C1,I1,Y,19
D1,1,parent,26_07,26,7,D1,E1,Y,19
E1,1,parent,39_09,39,9,B1,E1,Y,19
F1,2,child,28_35,28,35,F1,B1,Y,19
G1,1,child,20_08,20,8,G1,E1,Y,19
H1,2,child,75_39,75,39,H1,D1,Y,19
I1,2,parent,74_40,74,40,I1,E1,Y,19
K1,2,parent,55_34,55,34,B1,K1,Y,19
A1,1,parent,20_05,20,5,A1,H1,Y,20
B1,1,child,48_08,48,8,B1,I1,Y,20
C1,1,child,10_04,10,4,C1,A1,Y,20
D1,2,child,61_31,61,31,E1,D1,Y,20
E1,1,child,67_06,67,6,E1,H1,Y,20
F1,2,parent,20_34,20,34,F1,G1,Y,20
G1,2,parent,12_40,12,40,E1,G1,Y,20
H1,2,parent,73_40,73,40,E1,H1,Y,20
I1,2,parent,28_32,28,32,C1,I1,Y,20
K1,1,parent,20_07,20,7,K1,A1,Y,20
A1,1,child,66_08,66,8,H1,A1,Y,21
B1,2,parent,47_38,47,38,C1,B1,Y,21
C1,2,parent,04_36,4,36,C1,E1,Y,21
D1,2,parent,18_36,18,36,D1,E1,Y,21
E1,2,child,49_37,49,37,E1,A1,Y,21
F1,2,parent,67_36,67,36,F1,C1,Y,21
G1,1,parent,04_07,4,7,K1,G1,Y,21
H1,1,parent,31_05,31,5,D1,H1,N,21
I1,1,parent,15_05,15,5,B1,I1,Y,21
K1,1,child,62_10,62,10,K1,D1,Y,21
A1,2,parent,10_34,10,34,A1,I1,Y,22
B1,2,parent,37_36,37,36,I1,B1,Y,22
C1,2,parent,45_40,45,40,C1,I1,Y,22
D1,2,parent,13_38,13,38,E1,D1,Y,22
E1,1,parent,05_09,5,9,E1,H1,N,22
F1,1,parent,73_05,73,5,F1,K1,N,22
G1,1,child,40_08,40,8,G1,K1,Y,22
H1,1,child,73_10,73,10,A1,H1,Y,22
I1,1,child,33_06,33,6,I1,E1,Y,22
K1,2,parent,58_36,58,36,K1,F1,Y,22
A1,1,parent,60_07,60,7,K1,A1,Y,23
B1,1,parent,13_03,13,3,B1,I1,Y,23
C1,1,parent,65_09,65,9,H1,C1,Y,23
D1,1,parent,43_05,43,5,F1,D1,Y,23
E1,1,child,38_10,38,10,E1,A1,Y,23
F1,2,child,43_31,43,31,F1,K1,Y,23
G1,2,parent,48_32,48,32,D1,G1,Y,23
H1,2,child,42_39,42,39,D1,H1,Y,23
I1,2,parent,61_40,61,40,I1,A1,Y,23
K1,2,parent,33_40,33,40,K1,D1,Y,23
A1,1,child,64_10,64,10,H1,A1,Y,24
B1,1,child,12_06,12,6,D1,B1,Y,24
C1,1,child,62_02,62,2,A1,C1,Y,24
D1,2,child,71_31,71,31,D1,H1,Y,24
E1,2,child,13_31,13,31,I1,E1,Y,24
F1,2,parent,35_40,35,40,C1,F1,Y,24
G1,2,parent,35_34,35,34,E1,G1,Y,24
H1,2,parent,17_32,17,32,H1,A1,Y,24
I1,1,parent,05_07,5,7,I1,E1,Y,24
K1,1,parent,14_07,14,7,B1,K1,Y,24
A1,2,parent,21_34,21,34,K1,A1,Y,25
B1,2,parent,54_32,54,32,C1,B1,Y,25
C1,2,parent,73_32,73,32,C1,I1,Y,25
D1,2,parent,31_36,31,36,D1,K1,Y,25
E1,2,parent,48_34,48,34,E1,A1,Y,25
F1,1,parent,30_09,30,9,C1,F1,N,25
G1,1,parent,54_01,54,1,G1,D1,Y,25
H1,1,parent,12_01,12,1,A1,H1,Y,25
I1,1,child,75_10,75,10,I1,A1,Y,25
K1,1,child,71_08,71,8,K1,F1,Y,25
A1,2,parent,61_38,61,38,A1,I1,Y,26
B1,2,parent,55_32,55,32,I1,B1,Y,26
C1,2,parent,16_36,16,36,C1,H1,Y,26
D1,1,parent,75_03,75,3,D1,E1,Y,26
E1,1,parent,47_03,47,3,E1,H1,N,26
F1,1,child,60_02,60,2,G1,F1,Y,26
G1,1,child,43_06,43,6,G1,D1,Y,26
H1,1,child,39_06,39,6,H1,E1,Y,26
I1,2,parent,10_40,10,40,C1,I1,Y,26
K1,2,parent,71_36,71,36,D1,K1,Y,26
A1,1,parent,26_09,26,9,H1,A1,Y,27
B1,1,parent,72_09,72,9,B1,K1,Y,27
C1,1,parent,32_09,32,9,C1,I1,Y,27
D1,1,child,50_10,50,10,H1,D1,Y,27
E1,1,child,65_04,65,4,I1,E1,Y,27
F1,2,child,34_31,34,31,F1,G1,Y,27
G1,2,parent,74_32,74,32,D1,G1,Y,27
H1,2,child,21_31,21,31,C1,H1,N,27
I1,2,parent,57_32,57,32,I1,E1,Y,27
K1,2,parent,54_40,54,40,A1,K1,Y,27
A1,1,child,15_02,15,2,I1,A1,N,28
B1,1,child,57_10,57,10,C1,B1,Y,28
C1,1,child,46_08,46,8,H1,C1,Y,28
D1,2,child,30_35,30,35,K1,D1,Y,28
E1,2,child,30_33,30,33,E1,H1,Y,28
F1,2,parent,10_36,10,36,F1,C1,Y,28
G1,2,parent,17_38,17,38,E1,G1,Y,28
H1,2,parent,39_32,39,32,D1,H1,Y,28
I1,1,parent,53_01,53,1,A1,I1,Y,28
K1,1,parent,17_09,17,9,B1,K1,Y,28
A1,2,parent,68_32,68,32,H1,A1,Y,29
B1,2,parent,21_32,21,32,I1,B1,Y,29
C1,2,parent,51_32,51,32,E1,C1,Y,29
D1,2,parent,15_38,15,38,K1,D1,Y,29
E1,2,parent,04_38,4,38,I1,E1,Y,29
F1,1,parent,09_03,9,3,K1,F1,Y,29
G1,1,parent,07_07,7,7,C1,G1,Y,29
H1,1,parent,46_01,46,1,H1,E1,N,29
I1,1,child,20_06,20,6,C1,I1,Y,29
K1,1,child,33_10,33,10,K1,B1,Y,29
A1,2,parent,39_36,39,36,A1,H1,Y,30
B1,2,parent,48_38,48,38,K1,B1,Y,30
C1,2,parent,07_32,7,32,C1,I1,Y,30
D1,1,parent,59_09,59,9,D1,E1,N,30
E1,1,parent,51_03,51,3,A1,E1,Y,30
F1,1,child,15_08,15,8,F1,C1,Y,30
G1,1,child,66_04,66,4,G1,D1,Y,30
H1,1,child,67_08_b,8,8,C1,H1,Y,30
I1,2,parent,26_34,26,34,I1,B1,Y,30
K1,2,parent,38_36,38,36,K1,B1,Y,30
A1,1,parent,34_05,34,5,D1,A1,Y,31
B1,1,parent,15_07,15,7,C1,B1,Y,31
C1,1,parent,42_07,42,7,A1,C1,Y,31
D1,1,child,58_10,58,10,D1,H1,Y,31
E1,1,child,59_02,59,2,A1,E1,N,31
F1,2,child,45_39,45,39,F1,G1,Y,31
G1,2,parent,43_32,43,32,G1,C1,Y,31
H1,2,child,38_37,38,37,C1,H1,N,31
I1,2,parent,38_40,38,40,I1,E1,Y,31
K1,2,parent,52_36,52,36,D1,K1,Y,31
A1,1,child,68_02,68,2,A1,I1,N,32
B1,1,child,36_02,36,2,B1,I1,Y,32
C1,1,child,27_06,27,6,I1,C1,Y,32
D1,2,child,45_35,45,35,E1,D1,Y,32
E1,2,child,05_31,5,31,E1,I1,Y,32
F1,2,parent,51_36,51,36,F1,C1,Y,32
G1,2,parent,65_32,65,32,K1,G1,Y,32
H1,2,parent,67_32,67,32,D1,H1,Y,32
I1,1,parent,14_09,14,9,I1,A1,Y,32
K1,1,parent,53_32,53,32,K1,F1,Y,32
A1,2,child,71_35,71,35,A1,D1,Y,33
B1,2,parent,68_38,68,38,B1,D1,Y,33
C1,2,parent,30_36,30,36,I1,C1,Y,33
D1,2,parent,69_34,69,34,F1,D1,Y,33
E1,2,parent,07_36,7,36,H1,E1,Y,33
F1,1,parent,12_09,12,9,F1,C1,N,33
G1,1,parent,56_03,56,3,G1,E1,N,33
H1,1,parent,62_07,62,7,C1,H1,Y,33
I1,1,child,54_37,54,37,C1,I1,Y,33
K1,1,child,49_04,49,4,F1,K1,Y,33
A1,2,parent,09_38,9,38,A1,D1,Y,34
B1,2,parent,57_40,57,40,B1,I1,Y,34
C1,2,parent,11_40,11,40,C1,H1,Y,34
D1,1,parent,20_03,20,3,E1,D1,Y,34
E1,1,parent,69_01,69,1,B1,E1,Y,34
F1,1,child,32_10,32,10,F1,K1,Y,34
G1,1,child,59_08,59,8,G1,K1,Y,34
H1,1,child,72_10,72,10,E1,H1,Y,34
I1,2,parent,12_34,12,34,A1,I1,Y,34
K1,2,parent,43_38,43,38,K1,D1,Y,34
A1,1,parent,74_05,74,5,K1,A1,Y,35
B1,1,parent,49_09,49,9,B1,K1,Y,35
C1,1,parent,17_05,17,5,E1,C1,Y,35
D1,1,child,31_04,31,4,F1,D1,Y,35
E1,1,child,70_10,70,10,E1,H1,Y,35
F1,2,child,09_31,9,31,B1,F1,Y,35
G1,2,parent,20_32,20,32,G1,K1,Y,35
H1,2,child,48_31,48,31,H1,C1,Y,35
I1,2,parent,33_32,33,32,I1,C1,Y,35
K1,2,parent,09_32,9,32,B1,K1,Y,35
A1,1,child,27_08,27,8,K1,A1,Y,36
B1,1,child,64_04,64,4,C1,B1,Y,36
C1,1,child,50_02,50,2,C1,I1,Y,36
D1,2,child,09_35,9,35,H1,D1,Y,36
E1,2,child,28_39,28,39,E1,A1,N,36
F1,2,parent,62_38,62,38,F1,G1,Y,36
G1,2,parent,33_38,33,38,K1,G1,Y,36
H1,2,parent,16_38,16,38,D1,H1,Y,36
I1,1,parent,71_07,71,7,A1,I1,Y,36
K1,1,parent,51_01,51,1,A1,K1,Y,36
A1,2,child,72_39,72,39,H1,A1,Y,37
B1,2,parent,56_36,56,36,D1,B1,Y,37
C1,2,parent,55_40,55,40,C1,E1,Y,37
D1,2,parent,73_34,73,34,F1,D1,Y,37
E1,2,parent,11_32,11,32,E1,I1,Y,37
F1,1,parent,45_07,45,7,F1,C1,Y,37
G1,1,parent,31_01,31,1,C1,G1,N,37
H1,1,parent,42_03,42,3,H1,A1,Y,37
I1,1,child,69_10,69,10,A1,I1,Y,37
K1,1,child,35_08,35,8,D1,K1,Y,37
A1,2,parent,30_40,30,40,A1,K1,Y,38
B1,2,parent,14_40,14,40,B1,C1,Y,38
C1,2,parent,56_40,56,40,H1,C1,Y,38
D1,1,parent,40_03,40,3,D1,E1,Y,38
E1,1,parent,71_01,71,1,H1,E1,Y,38
F1,1,child,38_02,38,2,G1,F1,N,38
G1,1,child,09_02,9,2,G1,K1,Y,38
H1,1,child,33_33,33,33,H1,E1,Y,38
I1,2,parent,13_40,13,40,I1,E1,Y,38
K1,2,parent,07_34,7,34,K1,F1,Y,38
A1,1,parent,70_05,70,5,K1,A1,Y,39
B1,1,parent,10_07,10,7,B1,K1,Y,39
C1,1,parent,58_05,58,5,C1,E1,Y,39
D1,1,child,15_10,15,10,E1,D1,Y,39
E1,1,child,64_02,64,2,B1,E1,N,39
F1,2,child,46_39,46,39,B1,F1,Y,39
G1,2,child,54_31,54,31,G1,C1,Y,39
H1,2,child,74_39,74,39,E1,H1,Y,39
I1,2,parent,72_34,72,34,I1,A1,Y,39
K1,2,parent,47_32,47,32,K1,B1,Y,39
A1,1,child,49_02,49,2,I1,A1,Y,40
B1,1,child,69_06,69,6,D1,B1,Y,40
C1,1,child,30_08,30,8,E1,C1,Y,40
D1,2,child,47_37,47,37,D1,K1,Y,40
E1,2,child,47_35,47,35,B1,E1,Y,40
F1,2,parent,59_34,59,34,F1,G1,Y,40
G1,2,parent,70_32,70,32,E1,G1,Y,40
H1,2,parent,05_38,5,38,H1,C1,Y,40
I1,1,parent,65_01,65,1,B1,I1,Y,40
K1,1,parent,74_09,74,9,F1,K1,Y,40
A1,2,child,43_33,43,33,H1,A1,Y,41
B1,2,child,70_37,70,37,B1,K1,Y,41
C1,2,child,49_35,49,35,C1,A1,Y,41
D1,2,parent,67_38,67,38,D1,H1,N,41
E1,2,parent,20_38,20,38,E1,H1,Y,41
F1,1,parent,65_05,65,5,B1,F1,Y,41
G1,1,parent,18_01,18,1,C1,G1,N,41
H1,1,parent,54_03,54,3,H1,D1,Y,41
I1,1,child,17_06,17,6,I1,C1,Y,41
K1,1,child,52_10,52,10,B1,K1,Y,41
A1,2,parent,40_34,40,34,I1,A1,Y,42
B1,2,parent,53_34,53,34,B1,K1,Y,42
C1,2,parent,70_38,70,38,H1,C1,Y,42
D1,1,parent,45_03,45,3,D1,F1,Y,42
E1,1,parent,50_09,50,9,E1,I1,Y,42
F1,1,child,13_10,13,10,B1,F1,Y,42
G1,1,child,39_02,39,2,K1,G1,Y,42
H1,1,child,34_08,34,8,A1,H1,Y,42
I1,2,child,60_31,60,31,I1,B1,Y,42
K1,2,parent,66_38,66,38,K1,F1,Y,42
A1,1,parent,43_03,43,3,A1,K1,Y,43
B1,1,parent,62_03,62,3,K1,B1,Y,43
C1,1,parent,48_03,48,3,C1,H1,Y,43
D1,1,child,32_04,32,4,D1,H1,Y,43
E1,1,child,14_02,14,2,H1,E1,Y,43
F1,2,child,36_33,36,33,F1,K1,Y,43
G1,2,child,58_37,58,37,G1,C1,Y,43
H1,2,child,12_33,12,33,D1,H1,Y,43
I1,2,parent,45_34,45,34,I1,E1,Y,43
K1,2,parent,60_34,60,34,K1,A1,Y,43
A1,1,child,10_10,10,10,H1,A1,Y,44
B1,1,child,04_06,4,6,C1,B1,Y,44
C1,1,child,71_06,71,6,A1,C1,Y,44
D1,2,child,21_33,21,33,D1,E1,N,44
E1,2,child,71_39,71,39,I1,E1,N,44
F1,2,parent,04_32,4,32,F1,G1,Y,44
G1,2,parent,60_32,60,32,C1,G1,Y,44
H1,2,parent,34_34,34,34,H1,E1,Y,44
I1,1,parent,35_05,35,5,C1,I1,Y,44
K1,1,parent,05_03,5,3,K1,D1,Y,44
A1,2,child,26_31,26,31,A1,D1,Y,45
B1,2,child,31_31,31,31,B1,K1,Y,45
C1,2,child,34_35,34,35,I1,C1,Y,45
D1,2,parent,17_36,17,36,K1,D1,Y,45
E1,2,parent,12_32,12,32,H1,E1,Y,45
F1,1,parent,66_01,66,1,B1,F1,Y,45
G1,1,parent,68_09,68,9,G1,D1,Y,45
H1,1,parent,69_07,69,7,H1,E1,Y,45
I1,1,child,42_08,42,8,A1,I1,Y,45
K1,1,child,07_06,7,6,A1,K1,Y,45
A1,2,parent,16_34,16,34,H1,A1,Y,46
B1,2,parent,30_38,30,38,B1,K1,Y,46
C1,2,parent,27_36,27,36,C1,A1,Y,46
D1,1,parent,10_03,10,3,D1,F1,Y,46
E1,1,parent,56_01,56,1,E1,B1,Y,46
F1,1,child,10_08,10,8,K1,F1,Y,46
G1,1,child,35_04,35,4,D1,G1,Y,46
H1,1,child,45_08,45,8,H1,E1,Y,46
I1,2,child,32_39,32,39,A1,I1,Y,46
K1,2,parent,37_34,37,34,K1,D1,Y,46
A1,1,parent,35_01,35,1,H1,A1,Y,47
B1,1,parent,65_03,65,3,K1,B1,Y,47
C1,1,parent,44_05,44,5,C1,A1,Y,47
D1,1,child,65_02,65,2,E1,D1,Y,47
E1,1,child,26_06,26,6,B1,E1,Y,47
F1,2,child,55_35,55,35,G1,F1,Y,47
G1,2,child,10_33,10,33,G1,C1,Y,47
H1,2,child,64_39,64,39,A1,H1,Y,47
I1,2,parent,66_32,66,32,I1,C1,Y,47
K1,2,parent,72_38,72,38,A1,K1,Y,47
A1,1,child,21_08,21,8,D1,A1,Y,48
B1,1,child,44_08,44,8,K1,B1,Y,48
C1,1,child,73_04,73,4,C1,H1,Y,48
D1,2,child,46_31,46,31,D1,E1,Y,48
E1,2,child,72_35,72,35,A1,E1,Y,48
F1,2,parent,31_32,31,32,F1,K1,Y,48
G1,2,parent,21_36,21,36,D1,G1,Y,48
H1,2,parent,27_38,27,38,H1,E1,Y,48
I1,1,parent,30_05,30,5,B1,I1,Y,48
K1,1,parent,67_05,67,5,A1,K1,Y,48
A1,2,child,31_37,31,37,D1,A1,Y,49
B1,2,child,51_35,51,35,I1,B1,Y,49
C1,2,child,65_39,65,39,C1,I1,Y,49
D1,2,parent,34_40,34,40,K1,D1,Y,49
E1,2,parent,75_40,75,40,H1,E1,Y,49
F1,1,parent,18_03,18,3,C1,F1,Y,49
G1,1,parent,27_07,27,7,G1,D1,Y,49
H1,1,parent,65_07,65,7,H1,E1,N,49
I1,1,child,45_10,45,10,B1,I1,Y,49
K1,1,child,38_04,38,4,D1,K1,Y,49
A1,2,child,60_37,60,37,H1,A1,Y,50
B1,2,parent,11_38,11,38,B1,I1,Y,50
C1,2,parent,21_40,21,40,C1,I1,Y,50
D1,1,parent,35_32,35,32,D1,H1,Y,50
E1,1,parent,13_09,13,9,H1,E1,Y,50
F1,1,child,53_02,53,2,B1,F1,Y,50
G1,1,child,12_02,12,2,G1,C1,N,50
H1,1,child,60_08,60,8,A1,H1,N,50
I1,2,child,40_35,40,35,I1,E1,Y,50
K1,2,child,74_35,74,35,K1,B1,Y,50
A1,1,child,46_04,46,4,A1,H1,Y,51
B1,1,parent,42_05,42,5,B1,K1,Y,51
C1,1,parent,26_01,26,1,H1,C1,Y,51
D1,1,child,55_08,55,8,D1,K1,Y,51
E1,1,child,48_06,48,6,E1,B1,N,51
F1,2,child,71_37,71,37,B1,F1,Y,51
G1,2,child,73_39,73,39,K1,G1,Y,51
H1,2,child,35_31,35,31,H1,A1,Y,51
I1,2,parent,49_32,49,32,A1,I1,Y,51
K1,2,parent,26_40,26,40,F1,K1,Y,51
A1,1,parent,42_09,42,9,A1,D1,Y,52
B1,1,child,43_04,43,4,B1,D1,Y,52
C1,1,child,66_10,66,10,C1,I1,Y,52
D1,2,child,53_37,53,37,K1,D1,Y,52
E1,2,child,17_33,17,33,E1,B1,N,52
F1,2,parent,42_40,42,40,F1,K1,Y,52
G1,2,parent,50_40,50,40,G1,K1,Y,52
H1,2,parent,44_40,44,40,D1,H1,Y,52
I1,1,parent,62_09,62,9,C1,I1,Y,52
K1,1,parent,48_09,48,9,K1,A1,Y,52
A1,2,child,20_33,20,33,A1,I1,Y,53
B1,2,child,61_33,61,33,B1,D1,Y,53
C1,2,child,61_37,61,37,E1,C1,Y,53
D1,2,parent,05_36,5,36,F1,D1,Y,53
E1,2,parent,73_38,73,38,E1,A1,Y,53
F1,1,parent,44_07,44,7,B1,F1,Y,53
G1,1,parent,13_05,13,5,D1,G1,Y,53
H1,1,parent,14_05,14,5,H1,E1,Y,53
I1,1,child,66_06,66,6,A1,I1,Y,53
K1,1,child,66_02,66,2,K1,D1,Y,53
A1,2,child,35_37,35,37,K1,A1,Y,54
B1,2,parent,43_36,43,36,B1,K1,Y,54
C1,2,parent,74_38,74,38,I1,C1,N,54
D1,1,parent,60_03,60,3,H1,D1,Y,54
E1,1,parent,68_03,68,3,E1,H1,Y,54
F1,1,child,16_37,16,37,F1,K1,Y,54
G1,1,child,21_04,21,4,C1,G1,Y,54
H1,1,child,26_10,26,10,C1,H1,Y,54
I1,2,child,59_31,59,31,E1,I1,Y,54
K1,2,child,28_31,28,31,D1,K1,N,54
A1,1,child,28_10,28,10,A1,H1,Y,55
B1,1,parent,45_01,45,1,C1,B1,Y,55
C1,1,parent,67_01,67,1,I1,C1,Y,55
D1,1,child,05_10,5,10,D1,E1,Y,55
E1,1,child,04_04,4,4,E1,B1,Y,55
F1,2,child,50_37,50,37,K1,F1,Y,55
G1,2,child,37_33,37,33,G1,K1,Y,55
H1,2,child,50_39,50,39,H1,D1,Y,55
I1,2,parent,44_36,44,36,I1,A1,Y,55
K1,2,parent,30_32,30,32,K1,F1,N,55
A1,1,parent,31_03,31,3,I1,A1,Y,56
B1,1,child,33_04,33,4,B1,D1,Y,56
C1,1,child,18_02,18,2,H1,C1,N,56
D1,2,child,48_37,48,37,D1,K1,Y,56
E1,2,child,52_31,52,31,E1,H1,Y,56
F1,2,parent,37_40,37,40,F1,B1,Y,56
G1,2,parent,40_38,40,38,E1,G1,N,56
H1,2,parent,70_34,70,34,H1,E1,Y,56
I1,1,parent,46_05,46,5,A1,I1,Y,56
K1,1,parent,69_05,69,5,K1,A1,Y,56
A1,2,child,55_39,55,39,A1,I1,Y,57
B1,2,child,15_35,15,35,K1,B1,N,57
C1,2,child,48_39,48,39,I1,C1,Y,57
D1,2,parent,32_38,32,38,D1,E1,Y,57
E1,2,parent,45_32,45,32,H1,E1,Y,57
F1,1,parent,54_05,54,5,F1,C1,Y,57
G1,1,parent,72_01,72,1,K1,G1,N,57
H1,1,parent,13_07,13,7,H1,A1,Y,57
I1,1,child,36_04,36,4,B1,I1,Y,57
K1,1,child,31_08,31,8,K1,B1,Y,57
A1,2,child,44_37,44,37,K1,A1,Y,58
B1,2,parent,32_32,32,32,B1,I1,Y,58
C1,2,parent,37_32,37,32,C1,I1,Y,58
D1,1,parent,36_07,36,7,E1,D1,Y,58
E1,1,parent,33_05,33,5,E1,B1,Y,58
F1,1,child,04_10,4,10,F1,K1,Y,58
G1,1,child,49_08,49,8,E1,G1,Y,58
H1,1,child,58_04,58,4,H1,A1,Y,58
I1,2,child,62_33,62,33,B1,I1,Y,58
K1,2,child,64_35,64,35,A1,K1,Y,58
A1,1,child,48_02,48,2,D1,A1,Y,59
B1,1,parent,40_05,40,5,B1,I1,Y,59
C1,1,parent,31_09,31,9,H1,C1,Y,59
D1,1,child,28_08,28,8,H1,D1,N,59
E1,1,child,75_06,75,6,E1,A1,Y,59
F1,2,child,75_31,75,31,F1,G1,Y,59
G1,2,child,04_33,4,33,G1,C1,Y,59
H1,2,child,68_39,68,39,D1,H1,Y,59
I1,2,parent,42_36,42,36,B1,I1,Y,59
K1,2,parent,62_36,62,36,K1,B1,Y,59
A1,1,parent,56_09,56,9,H1,A1,Y,60
B1,1,child,56_04,56,4,B1,K1,Y,60
C1,1,child,07_02,7,2,C1,E1,Y,60
D1,2,child,04_37,4,37,D1,K1,Y,60
