"rt","utterance","target","foil","responses","competitor_type","target_type","test_part","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","id","age","button_pressed"
"9161.100000023842","dog","germanshepherd.jpg","pug.jpg","{""Q0"":""dog""}","close","familiar","trial","paired","survey-text","19","394632","0.0-19.0-0.0","37","4",""
"6274.800000011921","fish ","goldfish.jpg","swordfish.jpg","{""Q0"":""fish ""}","close","familiar","trial","paired","survey-text","20","401411","0.0-19.0-0.1","37","4",""
"7115.0999999940395","blue car ","sedan.jpg","sportscar.jpg","{""Q0"":""blue car ""}","close","familiar","trial","paired","survey-text","21","409033","0.0-19.0-0.2","37","4",""
"10080.90000000596","shirt just blue and nothing else","poloshirt.jpg","hawaiishirt.jpg","{""Q0"":""shirt just blue and nothing else""}","close","familiar","trial","paired","survey-text","22","419617","0.0-19.0-0.3","37","4",""
"6007.199999988079","bird","sparrow.jpg","eagle.jpg","{""Q0"":""bird""}","close","familiar","trial","paired","survey-text","23","426132","0.0-19.0-0.4","37","4",""
"6240.699999988079","big table ","diningtable.jpg","picnictable.jpg","{""Q0"":""big table ""}","close","familiar","trial","paired","survey-text","24","432879","0.0-19.0-0.5","37","4",""
"29387.5","food ","jellybeans.jpg","gummybears.jpg","{""Q0"":""food ""}","close","familiar","trial","paired","survey-text","25","462771","0.0-19.0-0.6","37","4",""
"8102.9000000059605","black bear","grizzlybear.jpg","polarbear.jpg","{""Q0"":""black bear""}","close","familiar","trial","paired","survey-text","26","471381","0.0-19.0-0.7","37","4",""
"42025.80000001192","black and weird shape","A2.jpg","C1.jpg","{""Q0"":""black and weird shape""}","far","tangram","trial","paired","survey-text","28","528519","0.0-21.0-0.0","37","4",""
"13636.200000017881","person holding something","H1.jpg","tangram-8.jpg","{""Q0"":""person holding something""}","far","tangram","trial","paired","survey-text","29","542659","0.0-21.0-0.1","37","4",""
"12816.40000000596","person with one foot up","tangram-164.jpg","tangram-64.jpg","{""Q0"":""person with one foot up""}","far","tangram","trial","paired","survey-text","30","555981","0.0-21.0-0.2","37","4",""
"12556.5","person with the other leg up","tangram-48.jpg","D1.jpg","{""Q0"":""person with the other leg up""}","far","tangram","trial","paired","survey-text","31","569044","0.0-21.0-0.3","37","4",""
"6595","somebody running","tangram-67.jpg","G1.jpg","{""Q0"":""somebody running""}","far","tangram","trial","paired","survey-text","32","576143","0.0-21.0-0.4","37","4",""
"31470.69999998808","somebody with one foot down and the other back","tangram-55.jpg","tangram-143.jpg","{""Q0"":""somebody with one foot down and the other back""}","far","tangram","trial","paired","survey-text","33","608120","0.0-21.0-0.5","37","4",""
"11256","somebody standing on one foot with arms out","tangram-90.jpg","tangram-120.jpg","{""Q0"":""somebody standing on one foot with arms out""}","far","tangram","trial","paired","survey-text","34","619879","0.0-21.0-0.6","37","4",""
"11440","walking with their head down","B1.jpg","tangram-4.jpg","{""Q0"":""walking with their head down""}","far","tangram","trial","paired","survey-text","35","631825","0.0-21.0-0.7","37","4",""
"6638","dog","germanshepherd.jpg","cow.jpg","{""Q0"":""dog""}","far","familiar","trial","paired","survey-text","37","650829","0.0-23.0-0.0","37","4",""
"5296.4000000059605","bear","grizzlybear.jpg","lion.jpg","{""Q0"":""bear""}","far","familiar","trial","paired","survey-text","38","656631","0.0-23.0-0.1","37","4",""
"4166.199999988079","bird","sparrow.jpg","squirrel.jpg","{""Q0"":""bird""}","far","familiar","trial","paired","survey-text","39","661304","0.0-23.0-0.2","37","4",""
"4959.9000000059605","food","jellybeans.jpg","pretzels.jpg","{""Q0"":""food""}","far","familiar","trial","paired","survey-text","40","666771","0.0-23.0-0.3","37","4",""
"5118.4000000059605","shirt","poloshirt.jpg","dress.jpg","{""Q0"":""shirt""}","far","familiar","trial","paired","survey-text","41","672395","0.0-23.0-0.4","37","4",""
"4797.199999988079","table","diningtable.jpg","wardrobe.jpg","{""Q0"":""table""}","far","familiar","trial","paired","survey-text","42","677699","0.0-23.0-0.5","37","4",""
