"rt","utterance","target","foil","responses","competitor_type","target_type","test_part","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","id","age","button_pressed"
"7774.399999976158","blue shirt","poloshirt.jpg","dress.jpg","{""Q0"":""blue shirt""}","far","familiar","trial","paired","survey-text","19","326037","0.0-19.0-0.0","11","8",""
"5658.799999952316","blue car","sedan.jpg","firetruck.jpg","{""Q0"":""blue car""}","far","familiar","trial","paired","survey-text","20","332201","0.0-19.0-0.1","11","8",""
"8974.100000023842","desk ","diningtable.jpg","wardrobe.jpg","{""Q0"":""desk ""}","far","familiar","trial","paired","survey-text","21","341679","0.0-19.0-0.2","11","8",""
"8210.200000047684","goldfish","goldfish.jpg","iguana.jpg","{""Q0"":""goldfish""}","far","familiar","trial","paired","survey-text","22","350395","0.0-19.0-0.3","11","8",""
"6538.800000011921","brown bear ","grizzlybear.jpg","lion.jpg","{""Q0"":""brown bear ""}","far","familiar","trial","paired","survey-text","23","357440","0.0-19.0-0.4","11","8",""
"4653.5","bird","sparrow.jpg","squirrel.jpg","{""Q0"":""bird""}","far","familiar","trial","paired","survey-text","24","362602","0.0-19.0-0.5","11","8",""
"4559.600000023842","dog","germanshepherd.jpg","cow.jpg","{""Q0"":""dog""}","far","familiar","trial","paired","survey-text","25","367667","0.0-19.0-0.6","11","8",""
"7566.899999976158","jellybeans","jellybeans.jpg","pretzels.jpg","{""Q0"":""jellybeans""}","far","familiar","trial","paired","survey-text","26","375741","0.0-19.0-0.7","11","8",""
"13023.800000011921","weird shape","tangram-90.jpg","tangram-120.jpg","{""Q0"":""weird shape""}","far","tangram","trial","paired","survey-text","28","402564","0.0-21.0-0.0","11","8",""
"19286.100000023842","something black","H1.jpg","tangram-8.jpg","{""Q0"":""something black""}","far","tangram","trial","paired","survey-text","29","422356","0.0-21.0-0.1","11","8",""
"18799","dress with diamonds attached to it ","A2.jpg","C1.jpg","{""Q0"":""dress with diamonds attached to it ""}","far","tangram","trial","paired","survey-text","30","441663","0.0-21.0-0.2","11","8",""
"31844.80000001192","head that looks weird ","tangram-48.jpg","D1.jpg","{""Q0"":""head that looks weird ""}","far","tangram","trial","paired","survey-text","31","474016","0.0-21.0-0.3","11","8",""
"9721","person walking ","B1.jpg","tangram-4.jpg","{""Q0"":""person walking ""}","far","tangram","trial","paired","survey-text","32","484244","0.0-21.0-0.4","11","8",""
"7014.199999988079","someone running","tangram-55.jpg","tangram-143.jpg","{""Q0"":""someone running""}","far","tangram","trial","paired","survey-text","33","491766","0.0-21.0-0.5","11","8",""
"14634.900000035763","person running","tangram-67.jpg","G1.jpg","{""Q0"":""person running""}","far","tangram","trial","paired","survey-text","34","506908","0.0-21.0-0.6","11","8",""
"16042.899999976158","person that looks like hes sitting on an invisible seat","tangram-164.jpg","tangram-64.jpg","{""Q0"":""person that looks like hes sitting on an invisible seat""}","far","tangram","trial","paired","survey-text","35","523458","0.0-21.0-0.7","11","8",""
"10249.800000011921","small bird","sparrow.jpg","eagle.jpg","{""Q0"":""small bird""}","close","familiar","trial","paired","survey-text","37","547032","0.0-23.0-0.0","11","8",""
"5928.199999988079","goldfish","goldfish.jpg","swordfish.jpg","{""Q0"":""goldfish""}","close","familiar","trial","paired","survey-text","38","553468","0.0-23.0-0.1","11","8",""
"10887.5","brown bear","grizzlybear.jpg","polarbear.jpg","{""Q0"":""brown bear""}","close","familiar","trial","paired","survey-text","39","564867","0.0-23.0-0.2","11","8",""
"6495.599999964237","desk ","diningtable.jpg","picnictable.jpg","{""Q0"":""desk ""}","close","familiar","trial","paired","survey-text","40","571866","0.0-23.0-0.3","11","8",""
"17980.099999964237","white, black, and brown dog","germanshepherd.jpg","pug.jpg","{""Q0"":""white, black, and brown dog""}","close","familiar","trial","paired","survey-text","41","590355","0.0-23.0-0.4","11","8",""
"9256.800000011921","jellybeans ","jellybeans.jpg","gummybears.jpg","{""Q0"":""jellybeans ""}","close","familiar","trial","paired","survey-text","42","600120","0.0-23.0-0.5","11","8",""
"8338.199999988079","plain, blue shirt","poloshirt.jpg","hawaiishirt.jpg","{""Q0"":""plain, blue shirt""}","close","familiar","trial","paired","survey-text","43","608964","0.0-23.0-0.6","11","8",""
"4985.899999976158","blue car","sedan.jpg","sportscar.jpg","{""Q0"":""blue car""}","close","familiar","trial","paired","survey-text","44","614456","0.0-23.0-0.7","11","8",""
"33195.10000002384","someone walking with their arms in their coat","B1.jpg","P1.jpg","{""Q0"":""someone walking with their arms in their coat""}","close","tangram","trial","paired","survey-text","46","661766","0.0-25.0-0.0","11","8",""
"13432.100000023842","someone without an arm ","H1.jpg","I1.jpg","{""Q0"":""someone without an arm ""}","close","tangram","trial","paired","survey-text","47","675706","0.0-25.0-0.1","11","8",""
"9704.800000011921","someone kicking something ","tangram-48.jpg","tangram-187.jpg","{""Q0"":""someone kicking something ""}","close","tangram","trial","paired","survey-text","48","685919","0.0-25.0-0.2","11","8",""
"9403.099999964237","someone running really fast","tangram-55.jpg","N1.jpg","{""Q0"":""someone running really fast""}","close","tangram","trial","paired","survey-text","49","695831","0.0-25.0-0.3","11","8",""
"14799.5","someone trying to look good","tangram-90.jpg","tangram-81.jpg","{""Q0"":""someone trying to look good""}","close","tangram","trial","paired","survey-text","50","711140","0.0-25.0-0.4","11","8",""
"7332.300000011921","someone sitting down","tangram-164.jpg","tangram-183.jpg","{""Q0"":""someone sitting down""}","close","tangram","trial","paired","survey-text","51","718981","0.0-25.0-0.5","11","8",""
"17237.19999998808","someone in a dress with her arms behind her","A2.jpg","tangram-99.jpg","{""Q0"":""someone in a dress with her arms behind her""}","close","tangram","trial","paired","survey-text","52","736726","0.0-25.0-0.6","11","8",""
"10110","someone running","tangram-67.jpg","tangram-32.jpg","{""Q0"":""someone running""}","close","tangram","trial","paired","survey-text","53","747344","0.0-25.0-0.7","11","8",""
"7966.100000023842","polar bear","polarbear.jpg","grizzlybear.jpg","","check","familiar","check","check","html-button-response-1","55","801777","0.0-27.0-0.0","11","8","0"
"7456.399999976158","shirt","dressshirt.jpg","campshirt.jpg","","check","familiar","check","check","html-button-response-1","56","809741","0.0-27.0-0.1","11","8","1"
"7397.599999964237","dog","husky.jpg","dalmatian.jpg","","check","familiar","check","check","html-button-response-1","57","817643","0.0-27.0-0.2","11","8","1"
"10085","table","pug.jpg","rabbit.jpg","","check","familiar","check","check","html-button-response-1","58","828233","0.0-27.0-0.3","11","8","1"
"8875.400000035763","red flower","rose.jpg","daisy.jpg","","check","familiar","check","check","html-button-response-1","59","837615","0.0-27.0-0.4","11","8","0"
"8879.5","bear","firetruck.jpg","ambulance.jpg","","check","familiar","check","check","html-button-response-1","60","847000","0.0-27.0-0.5","11","8","1"
"6539.600000023842","M&Ms","mnms.jpg","gummybears.jpg","","check","familiar","check","check","html-button-response-1","61","854048","0.0-27.0-0.6","11","8","0"
"7921.800000011921","cup","apple.jpg","pear.jpg","","check","familiar","check","check","html-button-response-1","62","862475","0.0-27.0-0.7","11","8","1"
"9875.899999976158","bird","parrot.jpg","pigeon.jpg","","check","familiar","check","check","html-button-response-1","63","872858","0.0-27.0-0.8","11","8","1"
