"rt","utterance","target","foil","responses","competitor_type","target_type","test_part","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","id","age","button_pressed"
"6024.0999999940395","blue car","sedan.jpg","firetruck.jpg","{""Q0"":""blue car""}","far","familiar","trial","paired","survey-text","19","365209390","0.0-19.0-0.0","35","5",""
"5103.5","brown bear","grizzlybear.jpg","lion.jpg","{""Q0"":""brown bear""}","far","familiar","trial","paired","survey-text","20","365215001","0.0-19.0-0.1","35","5",""
"5979.4000000059605","tan table ","diningtable.jpg","wardrobe.jpg","{""Q0"":""tan table ""}","far","familiar","trial","paired","survey-text","21","365221486","0.0-19.0-0.2","35","5",""
"6138.0999999940395","gray bird","sparrow.jpg","squirrel.jpg","{""Q0"":""gray bird""}","far","familiar","trial","paired","survey-text","22","365228129","0.0-19.0-0.3","35","5",""
"5629.699999988079","orange fish","goldfish.jpg","iguana.jpg","{""Q0"":""orange fish""}","far","familiar","trial","paired","survey-text","23","365234266","0.0-19.0-0.4","35","5",""
"27314.80000001192","all different colored bubble gum","jellybeans.jpg","pretzels.jpg","{""Q0"":""all different colored bubble gum""}","far","familiar","trial","paired","survey-text","24","365262085","0.0-19.0-0.5","35","5",""
"5855.5999999940395","blue shirt","poloshirt.jpg","dress.jpg","{""Q0"":""blue shirt""}","far","familiar","trial","paired","survey-text","25","365268444","0.0-19.0-0.6","35","5",""
"7771.899999991059","tan and black dog","germanshepherd.jpg","cow.jpg","{""Q0"":""tan and black dog""}","far","familiar","trial","paired","survey-text","26","365276724","0.0-19.0-0.7","35","5",""
"7677.20000000298","person running","tangram-67.jpg","G1.jpg","{""Q0"":""person running""}","far","tangram","trial","paired","survey-text","28","365297726","0.0-21.0-0.0","35","5",""
"6811.899999991059","person running","tangram-55.jpg","tangram-143.jpg","{""Q0"":""person running""}","far","tangram","trial","paired","survey-text","29","365305043","0.0-21.0-0.1","35","5",""
"9725.199999988079","person pointing ","H1.jpg","tangram-8.jpg","{""Q0"":""person pointing ""}","far","tangram","trial","paired","survey-text","30","365315273","0.0-21.0-0.2","35","5",""
"5189.29999999702","person kicking","tangram-48.jpg","D1.jpg","{""Q0"":""person kicking""}","far","tangram","trial","paired","survey-text","31","365320967","0.0-21.0-0.3","35","5",""
