"rt","utterance","target","foil","responses","competitor_type","target_type","test_part","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","id","age","button_pressed"
"9071.099999904633","blue car","sedan.jpg","firetruck.jpg","{""Q0"":""blue car""}","far","familiar","trial","paired","survey-text","19","416628","0.0-19.0-0.0","29","5",""
"4552.300000071526","table","diningtable.jpg","wardrobe.jpg","{""Q0"":""table""}","far","familiar","trial","paired","survey-text","20","421688","0.0-19.0-0.1","29","5",""
"4021.2999999523163","bird","sparrow.jpg","squirrel.jpg","{""Q0"":""bird""}","far","familiar","trial","paired","survey-text","21","426213","0.0-19.0-0.2","29","5",""
"7514.699999928474","fish","goldfish.jpg","iguana.jpg","{""Q0"":""fish""}","far","familiar","trial","paired","survey-text","22","434234","0.0-19.0-0.3","29","5",""
"7009.600000023842","wolf","germanshepherd.jpg","cow.jpg","{""Q0"":""wolf""}","far","familiar","trial","paired","survey-text","23","441750","0.0-19.0-0.4","29","5",""
"6298","candy","jellybeans.jpg","pretzels.jpg","{""Q0"":""candy""}","far","familiar","trial","paired","survey-text","24","448554","0.0-19.0-0.5","29","5",""
"3224.6999999284744","bear","grizzlybear.jpg","lion.jpg","{""Q0"":""bear""}","far","familiar","trial","paired","survey-text","25","452282","0.0-19.0-0.6","29","5",""
"5278","shirt","poloshirt.jpg","dress.jpg","{""Q0"":""shirt""}","far","familiar","trial","paired","survey-text","26","458065","0.0-19.0-0.7","29","5",""
"90154.39999997616","black things","B1.jpg","P1.jpg","{""Q0"":""black things""}","close","tangram","trial","paired","survey-text","28","560362","0.0-21.0-0.0","29","5",""
"14447.600000023842","person","tangram-164.jpg","tangram-183.jpg","{""Q0"":""person""}","close","tangram","trial","paired","survey-text","29","575317","0.0-21.0-0.1","29","5",""
"41480.89999997616","stickers","tangram-90.jpg","tangram-81.jpg","{""Q0"":""stickers""}","close","tangram","trial","paired","survey-text","30","617303","0.0-21.0-0.2","29","5",""
"35716.39999997616","dont know","H1.jpg","I1.jpg","{""Q0"":""dont know""}","close","tangram","trial","paired","survey-text","31","653524","0.0-21.0-0.3","29","5",""
"13730.899999976158","dont kow","tangram-55.jpg","N1.jpg","{""Q0"":""dont kow""}","close","tangram","trial","paired","survey-text","32","667762","0.0-21.0-0.4","29","5",""
"72039.89999997616","not sure","tangram-48.jpg","tangram-187.jpg","{""Q0"":""not sure""}","close","tangram","trial","paired","survey-text","33","740307","0.0-21.0-0.5","29","5",""
"13995.399999976158","not sure","A2.jpg","tangram-99.jpg","{""Q0"":""not sure""}","close","tangram","trial","paired","survey-text","34","754806","0.0-21.0-0.6","29","5",""
"9868.700000047684","no guess","tangram-67.jpg","tangram-32.jpg","{""Q0"":""no guess""}","close","tangram","trial","paired","survey-text","35","765179","0.0-21.0-0.7","29","5",""
"6573.100000023842","fish","goldfish.jpg","swordfish.jpg","{""Q0"":""fish""}","close","familiar","trial","paired","survey-text","37","785499","0.0-23.0-0.0","29","5",""
"5741.099999904633","blue car","sedan.jpg","sportscar.jpg","{""Q0"":""blue car""}","close","familiar","trial","paired","survey-text","38","791744","0.0-23.0-0.1","29","5",""
"5046.300000071526","blue shirt","poloshirt.jpg","hawaiishirt.jpg","{""Q0"":""blue shirt""}","close","familiar","trial","paired","survey-text","39","797294","0.0-23.0-0.2","29","5",""
"5503","bird","sparrow.jpg","eagle.jpg","{""Q0"":""bird""}","close","familiar","trial","paired","survey-text","40","803303","0.0-23.0-0.3","29","5",""
"9597.200000047684","table ","diningtable.jpg","picnictable.jpg","{""Q0"":""table ""}","close","familiar","trial","paired","survey-text","41","813405","0.0-23.0-0.4","29","5",""
"3886","bear ","grizzlybear.jpg","polarbear.jpg","{""Q0"":""bear ""}","close","familiar","trial","paired","survey-text","42","817795","0.0-23.0-0.5","29","5",""
"5723.199999928474","candy","jellybeans.jpg","gummybears.jpg","{""Q0"":""candy""}","close","familiar","trial","paired","survey-text","43","824025","0.0-23.0-0.6","29","5",""
"4245.800000071526","wolf","germanshepherd.jpg","pug.jpg","{""Q0"":""wolf""}","close","familiar","trial","paired","survey-text","44","828775","0.0-23.0-0.7","29","5",""
"15756.100000023842","not sure","tangram-164.jpg","tangram-64.jpg","{""Q0"":""not sure""}","far","tangram","trial","paired","survey-text","46","856763","0.0-25.0-0.0","29","5",""
"11983","not sure","A2.jpg","C1.jpg","{""Q0"":""not sure""}","far","tangram","trial","paired","survey-text","47","869250","0.0-25.0-0.1","29","5",""
"10084.399999976158","running","tangram-55.jpg","tangram-143.jpg","{""Q0"":""running""}","far","tangram","trial","paired","survey-text","48","879841","0.0-25.0-0.2","29","5",""
"15275.199999928474","not sure","tangram-67.jpg","G1.jpg","{""Q0"":""not sure""}","far","tangram","trial","paired","survey-text","49","895622","0.0-25.0-0.3","29","5",""
"11640.199999928474","not sure","tangram-90.jpg","tangram-120.jpg","{""Q0"":""not sure""}","far","tangram","trial","paired","survey-text","50","907767","0.0-25.0-0.4","29","5",""
"18254.400000095367","pointing","H1.jpg","tangram-8.jpg","{""Q0"":""pointing""}","far","tangram","trial","paired","survey-text","51","926524","0.0-25.0-0.5","29","5",""
"7831.300000071526","kicking","tangram-48.jpg","D1.jpg","{""Q0"":""kicking""}","far","tangram","trial","paired","survey-text","52","934858","0.0-25.0-0.6","29","5",""
"5374.200000047684","walking","B1.jpg","tangram-4.jpg","{""Q0"":""walking""}","far","tangram","trial","paired","survey-text","53","940736","0.0-25.0-0.7","29","5",""
"8167.5","M&Ms","mnms.jpg","gummybears.jpg","","check","familiar","check","check","html-button-response-1","55","994408","0.0-27.0-0.0","29","5","0"
"7076.100000023842","bear","firetruck.jpg","ambulance.jpg","","check","familiar","check","check","html-button-response-1","56","1001987","0.0-27.0-0.1","29","5","1"
"6897.200000047684","bird","parrot.jpg","pigeon.jpg","","check","familiar","check","check","html-button-response-1","57","1009388","0.0-27.0-0.2","29","5","0"
"7445.899999976158","shirt","dressshirt.jpg","campshirt.jpg","","check","familiar","check","check","html-button-response-1","58","1017339","0.0-27.0-0.3","29","5","1"
"8810.300000071526","red flower","rose.jpg","daisy.jpg","","check","familiar","check","check","html-button-response-1","59","1026652","0.0-27.0-0.4","29","5","0"
"8170.799999952316","polar bear","polarbear.jpg","grizzlybear.jpg","","check","familiar","check","check","html-button-response-1","60","1035328","0.0-27.0-0.5","29","5","1"
