"rt","utterance","target","foil","responses","competitor_type","target_type","test_part","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","id","age","button_pressed"
"5486","bear","grizzlybear.jpg","lion.jpg","{""Q0"":""bear""}","far","familiar","trial","paired","survey-text","19","985506","0.0-19.0-0.0","58","4",""
"6011","dog","germanshepherd.jpg","cow.jpg","{""Q0"":""dog""}","far","familiar","trial","paired","survey-text","20","992027","0.0-19.0-0.1","58","4",""
"3376.5999999046326","bird ","sparrow.jpg","squirrel.jpg","{""Q0"":""bird ""}","far","familiar","trial","paired","survey-text","21","995907","0.0-19.0-0.2","58","4",""
"3318.7999999523163","shirt ","poloshirt.jpg","dress.jpg","{""Q0"":""shirt ""}","far","familiar","trial","paired","survey-text","22","999730","0.0-19.0-0.3","58","4",""
"3462.7000000476837","fish ","goldfish.jpg","iguana.jpg","{""Q0"":""fish ""}","far","familiar","trial","paired","survey-text","23","1003699","0.0-19.0-0.4","58","4",""
"8270.599999904633","little balls ","jellybeans.jpg","pretzels.jpg","{""Q0"":""little balls ""}","far","familiar","trial","paired","survey-text","24","1012474","0.0-19.0-0.5","58","4",""
"4370.899999976158","car ","sedan.jpg","firetruck.jpg","{""Q0"":""car ""}","far","familiar","trial","paired","survey-text","25","1017351","0.0-19.0-0.6","58","4",""
"3747.0999999046326","table ","diningtable.jpg","wardrobe.jpg","{""Q0"":""table ""}","far","familiar","trial","paired","survey-text","26","1021604","0.0-19.0-0.7","58","4",""
"18277.400000095367","shapes ","tangram-90.jpg","tangram-81.jpg","{""Q0"":""shapes ""}","close","tangram","trial","paired","survey-text","28","1054266","0.0-21.0-0.0","58","4",""
"24713.199999928474","another shape ","tangram-164.jpg","tangram-183.jpg","{""Q0"":""another shape ""}","close","tangram","trial","paired","survey-text","29","1079486","0.0-21.0-0.1","58","4",""
"33158.10000002384","diamond ","tangram-55.jpg","N1.jpg","{""Q0"":""diamond ""}","close","tangram","trial","paired","survey-text","30","1113149","0.0-21.0-0.2","58","4",""
"13305.399999976158","walking ","B1.jpg","P1.jpg","{""Q0"":""walking ""}","close","tangram","trial","paired","survey-text","31","1126961","0.0-21.0-0.3","58","4",""
"5728","running ","tangram-67.jpg","tangram-32.jpg","{""Q0"":""running ""}","close","tangram","trial","paired","survey-text","32","1133195","0.0-21.0-0.4","58","4",""
"6865.899999976158","carrying something ","H1.jpg","I1.jpg","{""Q0"":""carrying something ""}","close","tangram","trial","paired","survey-text","33","1140566","0.0-21.0-0.5","58","4",""
"18403.200000047684","one foot jumping ","tangram-48.jpg","tangram-187.jpg","{""Q0"":""one foot jumping ""}","close","tangram","trial","paired","survey-text","34","1159473","0.0-21.0-0.6","58","4",""
"8979.299999952316","walking ","A2.jpg","tangram-99.jpg","{""Q0"":""walking ""}","close","tangram","trial","paired","survey-text","35","1168961","0.0-21.0-0.7","58","4",""
"8636.599999904633","different shirt ","poloshirt.jpg","hawaiishirt.jpg","{""Q0"":""different shirt ""}","close","familiar","trial","paired","survey-text","37","1191435","0.0-23.0-0.0","58","4",""
"6666.800000071526","table ","diningtable.jpg","picnictable.jpg","{""Q0"":""table ""}","close","familiar","trial","paired","survey-text","38","1198607","0.0-23.0-0.1","58","4",""
"4736.100000023842","car ","sedan.jpg","sportscar.jpg","{""Q0"":""car ""}","close","familiar","trial","paired","survey-text","39","1203849","0.0-23.0-0.2","58","4",""
"9861.5","fish ","goldfish.jpg","swordfish.jpg","{""Q0"":""fish ""}","close","familiar","trial","paired","survey-text","40","1214218","0.0-23.0-0.3","58","4",""
"4805.100000023842","bird ","sparrow.jpg","eagle.jpg","{""Q0"":""bird ""}","close","familiar","trial","paired","survey-text","41","1219531","0.0-23.0-0.4","58","4",""
"11278.799999952316","dog ","germanshepherd.jpg","pug.jpg","{""Q0"":""dog ""}","close","familiar","trial","paired","survey-text","42","1231315","0.0-23.0-0.5","58","4",""
"9254.100000023842","different bear ","grizzlybear.jpg","polarbear.jpg","{""Q0"":""different bear ""}","close","familiar","trial","paired","survey-text","43","1241074","0.0-23.0-0.6","58","4",""
"7243","small balls ","jellybeans.jpg","gummybears.jpg","{""Q0"":""small balls ""}","close","familiar","trial","paired","survey-text","44","1248824","0.0-23.0-0.7","58","4",""
"5199.900000095367","walking ","A2.jpg","C1.jpg","{""Q0"":""walking ""}","far","tangram","trial","paired","survey-text","46","1268959","0.0-25.0-0.0","58","4",""
