"rt","utterance","target","foil","responses","competitor_type","target_type","test_part","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","id","age","button_pressed"
"6089","goldfish","goldfish.jpg","swordfish.jpg","{""Q0"":""goldfish""}","close","familiar","trial","paired","survey-text","19","473123","0.0-19.0-0.0","45","5",""
"7871","black bear ","grizzlybear.jpg","polarbear.jpg","{""Q0"":""black bear ""}","close","familiar","trial","paired","survey-text","20","481499","0.0-19.0-0.1","45","5",""
"7353.0999999940395","bird ","sparrow.jpg","eagle.jpg","{""Q0"":""bird ""}","close","familiar","trial","paired","survey-text","21","489358","0.0-19.0-0.2","45","5",""
"4996.70000000298","dog","germanshepherd.jpg","pug.jpg","{""Q0"":""dog""}","close","familiar","trial","paired","survey-text","22","494860","0.0-19.0-0.3","45","5",""
"5522.5","table ","diningtable.jpg","picnictable.jpg","{""Q0"":""table ""}","close","familiar","trial","paired","survey-text","23","500886","0.0-19.0-0.4","45","5",""
"8975.89999999106","blue car ","sedan.jpg","sportscar.jpg","{""Q0"":""blue car ""}","close","familiar","trial","paired","survey-text","24","510365","0.0-19.0-0.5","45","5",""
"6755.79999999702","blue shirt ","poloshirt.jpg","hawaiishirt.jpg","{""Q0"":""blue shirt ""}","close","familiar","trial","paired","survey-text","25","517623","0.0-19.0-0.6","45","5",""
"17307.60000000894","jellybeans ","jellybeans.jpg","gummybears.jpg","{""Q0"":""jellybeans ""}","close","familiar","trial","paired","survey-text","26","535438","0.0-19.0-0.7","45","5",""
"8780.79999999702","human kicking ","tangram-48.jpg","D1.jpg","{""Q0"":""human kicking ""}","far","tangram","trial","paired","survey-text","28","557883","0.0-21.0-0.0","45","5",""
"17166.09999999404","human putting out their hands  ","H1.jpg","tangram-8.jpg","{""Q0"":""human putting out their hands  ""}","far","tangram","trial","paired","survey-text","29","575556","0.0-21.0-0.1","45","5",""
"6754","people running ","tangram-90.jpg","tangram-120.jpg","{""Q0"":""people running ""}","far","tangram","trial","paired","survey-text","30","582816","0.0-21.0-0.2","45","5",""
"14364.5","person with their hands in front of them and up","A2.jpg","C1.jpg","{""Q0"":""person with their hands in front of them and up""}","far","tangram","trial","paired","survey-text","31","597685","0.0-21.0-0.3","45","5",""
"5083.600000008941","person running ","tangram-67.jpg","G1.jpg","{""Q0"":""person running ""}","far","tangram","trial","paired","survey-text","32","603275","0.0-21.0-0.4","45","5",""
"5324","someone walking ","B1.jpg","tangram-4.jpg","{""Q0"":""someone walking ""}","far","tangram","trial","paired","survey-text","33","609105","0.0-21.0-0.5","45","5",""
"5560.199999988079","someone jogging","tangram-55.jpg","tangram-143.jpg","{""Q0"":""someone jogging""}","far","tangram","trial","paired","survey-text","34","615170","0.0-21.0-0.6","45","5",""
"6941.5999999940395","someone kicking","tangram-164.jpg","tangram-64.jpg","{""Q0"":""someone kicking""}","far","tangram","trial","paired","survey-text","35","622617","0.0-21.0-0.7","45","5",""
"4352.600000008941","dog ","germanshepherd.jpg","cow.jpg","{""Q0"":""dog ""}","far","familiar","trial","paired","survey-text","37","641752","0.0-23.0-0.0","45","5",""
"3380.7000000029802","bear","grizzlybear.jpg","lion.jpg","{""Q0"":""bear""}","far","familiar","trial","paired","survey-text","38","645637","0.0-23.0-0.1","45","5",""
"3650.5","table ","diningtable.jpg","wardrobe.jpg","{""Q0"":""table ""}","far","familiar","trial","paired","survey-text","39","649794","0.0-23.0-0.2","45","5",""
"4077.2000000029802","blue car ","sedan.jpg","firetruck.jpg","{""Q0"":""blue car ""}","far","familiar","trial","paired","survey-text","40","654374","0.0-23.0-0.3","45","5",""
"3859.0999999940395","shirt","poloshirt.jpg","dress.jpg","{""Q0"":""shirt""}","far","familiar","trial","paired","survey-text","41","658736","0.0-23.0-0.4","45","5",""
"3504.2999999970198","bird","sparrow.jpg","squirrel.jpg","{""Q0"":""bird""}","far","familiar","trial","paired","survey-text","42","662747","0.0-23.0-0.5","45","5",""
"16748.89999999106","m&m's ","jellybeans.jpg","pretzels.jpg","{""Q0"":""m&m's ""}","far","familiar","trial","paired","survey-text","43","680002","0.0-23.0-0.6","45","5",""
"4021.9000000059605","goldfish","goldfish.jpg","iguana.jpg","{""Q0"":""goldfish""}","far","familiar","trial","paired","survey-text","44","684530","0.0-23.0-0.7","45","5",""
"5618.70000000298","someone running ","tangram-90.jpg","tangram-81.jpg","{""Q0"":""someone running ""}","close","tangram","trial","paired","survey-text","46","705177","0.0-25.0-0.0","45","5",""
"4833.5999999940395","someone walking ","B1.jpg","P1.jpg","{""Q0"":""someone walking ""}","close","tangram","trial","paired","survey-text","47","710515","0.0-25.0-0.1","45","5",""
"5837.5","someone kicking ","tangram-164.jpg","tangram-183.jpg","{""Q0"":""someone kicking ""}","close","tangram","trial","paired","survey-text","48","716860","0.0-25.0-0.2","45","5",""
"5171.9000000059605","someone running","tangram-67.jpg","tangram-32.jpg","{""Q0"":""someone running""}","close","tangram","trial","paired","survey-text","49","722538","0.0-25.0-0.3","45","5",""
"11260","someone putting their hands in front of them","A2.jpg","tangram-99.jpg","{""Q0"":""someone putting their hands in front of them""}","close","tangram","trial","paired","survey-text","50","734300","0.0-25.0-0.4","45","5",""
"4788.5999999940395","kicking ","tangram-48.jpg","tangram-187.jpg","{""Q0"":""kicking ""}","close","tangram","trial","paired","survey-text","51","739598","0.0-25.0-0.5","45","5",""
"9595.09999999404","someone putting their hands in front","H1.jpg","I1.jpg","{""Q0"":""someone putting their hands in front""}","close","tangram","trial","paired","survey-text","52","749696","0.0-25.0-0.6","45","5",""
"5623.0999999940395","someone running ","tangram-55.jpg","N1.jpg","{""Q0"":""someone running ""}","close","tangram","trial","paired","survey-text","53","755826","0.0-25.0-0.7","45","5",""
"11183","shirt","dressshirt.jpg","campshirt.jpg","","check","familiar","check","check","html-button-response-1","55","812784","0.0-27.0-0.0","45","5","0"
"29391.70000000298","cup","apple.jpg","pear.jpg","","check","familiar","check","check","html-button-response-1","56","842677","0.0-27.0-0.1","45","5","1"
"7665.0999999940395","M&Ms","mnms.jpg","gummybears.jpg","","check","familiar","check","check","html-button-response-1","57","850846","0.0-27.0-0.2","45","5","0"
"13778.699999988079","red flower","rose.jpg","daisy.jpg","","check","familiar","check","check","html-button-response-1","58","865128","0.0-27.0-0.3","45","5","0"
"9473.5","dog","husky.jpg","dalmatian.jpg","","check","familiar","check","check","html-button-response-1","59","875106","0.0-27.0-0.4","45","5","1"
"7017.20000000298","polar bear","polarbear.jpg","grizzlybear.jpg","","check","familiar","check","check","html-button-response-1","60","882625","0.0-27.0-0.5","45","5","0"
"7410","bear","firetruck.jpg","ambulance.jpg","","check","familiar","check","check","html-button-response-1","61","890540","0.0-27.0-0.6","45","5","1"
"7225.79999999702","table","pug.jpg","rabbit.jpg","","check","familiar","check","check","html-button-response-1","62","898271","0.0-27.0-0.7","45","5","1"
"14478.90000000596","bird","parrot.jpg","pigeon.jpg","","check","familiar","check","check","html-button-response-1","63","913251","0.0-27.0-0.8","45","5","0"
