"rt","utterance","target","foil","responses","competitor_type","target_type","test_part","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","id","age","button_pressed"
"10891.600000023842","candy","jellybeans.jpg","pretzels.jpg","{""Q0"":""candy""}","far","familiar","trial","paired","survey-text","19","1118873","0.0-19.0-0.0","16","8",""
"4105.299999952316","bird","sparrow.jpg","squirrel.jpg","{""Q0"":""bird""}","far","familiar","trial","paired","survey-text","20","1123484","0.0-19.0-0.1","16","8",""
"4541.300000071526","fish","goldfish.jpg","iguana.jpg","{""Q0"":""fish""}","far","familiar","trial","paired","survey-text","21","1128528","0.0-19.0-0.2","16","8",""
"3694","dog","germanshepherd.jpg","cow.jpg","{""Q0"":""dog""}","far","familiar","trial","paired","survey-text","22","1132724","0.0-19.0-0.3","16","8",""
"4160.399999976158","bear","grizzlybear.jpg","lion.jpg","{""Q0"":""bear""}","far","familiar","trial","paired","survey-text","23","1137388","0.0-19.0-0.4","16","8",""
"4414.5","car","sedan.jpg","firetruck.jpg","{""Q0"":""car""}","far","familiar","trial","paired","survey-text","24","1142307","0.0-19.0-0.5","16","8",""
"4446","blue shirt","poloshirt.jpg","dress.jpg","{""Q0"":""blue shirt""}","far","familiar","trial","paired","survey-text","25","1147260","0.0-19.0-0.6","16","8",""
"3137.8000000715256","table","diningtable.jpg","wardrobe.jpg","{""Q0"":""table""}","far","familiar","trial","paired","survey-text","26","1150904","0.0-19.0-0.7","16","8",""
"16406","shapes","H1.jpg","tangram-8.jpg","{""Q0"":""shapes""}","far","tangram","trial","paired","survey-text","28","1178683","0.0-21.0-0.0","16","8",""
"9886.699999928474","figure that looks like a person","A2.jpg","C1.jpg","{""Q0"":""figure that looks like a person""}","far","tangram","trial","paired","survey-text","29","1189075","0.0-21.0-0.1","16","8",""
"9134.700000047684","shapes that looks like a human","tangram-48.jpg","D1.jpg","{""Q0"":""shapes that looks like a human""}","far","tangram","trial","paired","survey-text","30","1198715","0.0-21.0-0.2","16","8",""
"12824.700000047684","shapes that looks like a human ","tangram-67.jpg","G1.jpg","{""Q0"":""shapes that looks like a human ""}","far","tangram","trial","paired","survey-text","31","1212047","0.0-21.0-0.3","16","8",""
"10300.200000047684","shapes in a person standing","tangram-90.jpg","tangram-120.jpg","{""Q0"":""shapes in a person standing""}","far","tangram","trial","paired","survey-text","32","1222851","0.0-21.0-0.4","16","8",""
"7595.700000047684","human running","tangram-55.jpg","tangram-143.jpg","{""Q0"":""human running""}","far","tangram","trial","paired","survey-text","33","1230949","0.0-21.0-0.5","16","8",""
"15725","person walking","B1.jpg","tangram-4.jpg","{""Q0"":""person walking""}","far","tangram","trial","paired","survey-text","34","1247179","0.0-21.0-0.6","16","8",""
"12604.600000023842","human sitting","tangram-164.jpg","tangram-64.jpg","{""Q0"":""human sitting""}","far","tangram","trial","paired","survey-text","35","1260287","0.0-21.0-0.7","16","8",""
