Timeline.ordinal,subid,type,trial,target,person,utterance,selection
1,42,practice,1,apple,parent,It has an apple,
1,42,practice,1,apple,parent,It has an apple,
2,42,practice,1,apple,parent,Do you see an apple,
2,42,practice,1,apple,parent,Do you see an apple,
6,42,practice,1,apple,child,,child
6,42,practice,1,apple,child,,child
32,42,practice,4,apple,child,Apple,
32,42,practice,4,apple,child,Apple,
33,42,practice,4,apple,parent,,parent
33,42,practice,4,apple,parent,,parent
13,42,practice,2,artichoke,parent,Is it like bumpy or,
13,42,practice,2,artichoke,parent,Is it like bumpy or,
14,42,practice,2,artichoke,child,Bump,
14,42,practice,2,artichoke,child,Bump,
15,42,practice,2,artichoke,parent,smooth,
15,42,practice,2,artichoke,parent,smooth,
16,42,practice,2,artichoke,child,Smooth,
16,42,practice,2,artichoke,child,Smooth,
17,42,practice,2,artichoke,parent,Smooth,
17,42,practice,2,artichoke,parent,Smooth,
18,42,practice,2,artichoke,child,Yup,
18,42,practice,2,artichoke,child,Yup,
20,42,practice,2,artichoke,parent,,parent
20,42,practice,2,artichoke,parent,,parent
38,42,practice,5,artichoke,parent,Now there's a more round bumpy vegetable in there,
38,42,practice,5,artichoke,parent,Now there's a more round bumpy vegetable in there,
41,42,practice,5,artichoke,child,,child
41,42,practice,5,artichoke,child,,child
26,42,practice,3,onion,parent,It is smooth round vegetable in it,
26,42,practice,3,onion,parent,It is smooth round vegetable in it,
27,42,practice,3,onion,parent,Do you see one that's smooth and round,
27,42,practice,3,onion,parent,Do you see one that's smooth and round,
28,42,practice,3,onion,child,Yup,
28,42,practice,3,onion,child,Yup,
29,42,practice,3,onion,child,,child
29,42,practice,3,onion,child,,child
47,42,practice,6,onion,child,A circle,
47,42,practice,6,onion,child,A circle,
49,42,practice,6,onion,child,Smooth,
49,42,practice,6,onion,child,Smooth,
50,42,practice,6,onion,parent,Smooth,
50,42,practice,6,onion,parent,Smooth,
51,42,practice,6,onion,parent,,parent
51,42,practice,6,onion,parent,,parent
129,42,test,9,A1,parent,OK I have a person that is standing on one leg and has one leg up behind him,
130,42,test,9,A1,parent,They're standing tall,
131,42,test,9,A1,child,,child
171,42,test,15,A1,child,His leg is up,
172,42,test,15,A1,parent,His leg is up,
173,42,test,15,A1,child,With triangle feet,
174,42,test,15,A1,parent,With triangle feet,
175,42,test,15,A1,child,And a diamond head,
176,42,test,15,A1,parent,And a diamond head,
177,42,test,15,A1,parent,,parent
232,42,test,23,A1,parent,This time I have someone let's see they have two legs but they're only standing on one leg no ice cream,
233,42,test,23,A1,child,,child
281,42,test,31,A1,child,I have a blue box he's zzz he's running but he's running on one leg,
283,42,test,31,A1,parent,,parent
101,42,test,5,B1,parent,I have a person walking with no hat and two legs,
102,42,test,5,B1,child,,child
158,42,test,13,B1,child,He's walking with a di with a diamond head,
159,42,test,13,B1,parent,A diamond head,
160,42,test,13,B1,parent,,parent
266,42,test,29,B1,parent,It's a person walking,
267,42,test,29,B1,parent,There's two legs that you can see and he's got a diamond head,
268,42,test,29,B1,child,It looks like a square,
269,42,test,29,B1,parent,It is kinda like a square but it it's kind of a square that's,
270,42,test,29,B1,child,,child
271,42,test,29,B1,parent,looking down,
290,42,test,33,B1,child,He's walking with his head down,
291,42,test,33,B1,parent,No ice cream,
292,42,test,33,B1,child,No ice cream,
294,42,test,33,B1,parent,,parent
295,42,test,33,B1,parent,Poor guy no ice cream,
114,42,test,7,C1,parent,This time it's a person kneeling down,
115,42,test,7,C1,parent,They're head is close to the ground,
116,42,test,7,C1,parent,It's not connected to their body,
117,42,test,7,C1,child,,child
145,42,test,11,C1,child,His head is down,
147,42,test,11,C1,child,And he doesn't have a body,
148,42,test,11,C1,child,It's a person laying down,
149,42,test,11,C1,parent,,parent
217,42,test,21,C1,parent,I have a person that's kneeling down,
218,42,test,21,C1,parent,Their head is a diamond but it's not connected to his body,
219,42,test,21,C1,parent,Laying down kinda standing on his his elbows,
220,42,test,21,C1,parent,No ice cream,
221,42,test,21,C1,child,,child
302,42,test,35,C1,child,I have the blue box he's laying down but it's but it's not connected,
304,42,test,35,C1,parent,,parent
107,42,test,6,D1,child,It's a rocketship,
108,42,test,6,D1,parent,Is it a rocketship laying down,
109,42,test,6,D1,child,Yup,
110,42,test,6,D1,parent,Laying down,
111,42,test,6,D1,parent,,parent
180,42,test,16,D1,parent,My person is laying down,
181,42,test,16,D1,parent,She looks like a long skinny you called it a rocketship before,
182,42,test,16,D1,parent,Laying down got a diamond head kind of a square diamond head,
183,42,test,16,D1,parent,Triangle feet,
184,42,test,16,D1,child,,child
262,42,test,28,D1,child,And,
263,42,test,28,D1,child,,child
264,42,test,28,D1,child,feet is,
297,42,test,34,D1,parent,It's a person laying down with two triangle feet,
298,42,test,34,D1,child,,child
300,42,test,34,D1,child,Doesn't look like a person,
136,42,test,10,E1,child,He's jumping,
137,42,test,10,E1,parent,Oh jumping,
138,42,test,10,E1,parent,,parent
163,42,test,14,E1,parent,This time it's a person jumping one leg is at the bottom and it's jumping up,
164,42,test,14,E1,parent,Do you see a jumping one,
165,42,test,14,E1,child,Yup,
166,42,test,14,E1,child,,child
274,42,test,30,E1,child,I have the blue box he's jumping up,
276,42,test,30,E1,parent,,parent
314,42,test,38,E1,parent,It's a person jumping up with no ice cream,
315,42,test,38,E1,parent,No ice cream,
321,42,test,38,E1,child,,child
91,42,test,4,F1,child,He has a he has a he has a a hard leg standing stood like a split,
92,42,test,4,F1,parent,He's doing the splits,
93,42,test,4,F1,child,And he has his head is on the bottom,
95,42,test,4,F1,child,And his and his feet is triangles,
96,42,test,4,F1,parent,Feet are triangles,
97,42,test,4,F1,child,Yup,
98,42,test,4,F1,parent,,parent
152,42,test,12,F1,parent,This time it's a person standing they're legs are far apart little triangles and his head is connected to his body at the top,
153,42,test,12,F1,child,,child
226,42,test,22,F1,child,He's running,
227,42,test,22,F1,parent,Running,
228,42,test,22,F1,parent,,parent
229,42,test,22,F1,child,That's a pointy hat,
329,42,test,40,F1,parent,I have a person and they're standing on two triangle feet,
330,42,test,40,F1,child,,child
332,42,test,40,F1,parent,No,
54,42,test,1,G1,parent,A big black box that touches the bottom so big black box at the bottom and a little square at the top,
57,42,test,1,G1,parent,It has a square at the bottom and then it has a triangle kind of on top of that box,
58,42,test,1,G1,parent,and then another point and then it just touches the edge of a little box,
61,42,test,1,G1,child,It's the big one bigger than the other one,
62,42,test,1,G1,parent,It is bigger you're right it looks bigger,
63,42,test,1,G1,child,,child
204,42,test,19,G1,child,He has a square with big square and he's and he's sitting,
206,42,test,19,G1,child,down,
207,42,test,19,G1,parent,,parent
