Timeline.ordinal,subid,type,trial,target,person,utterance,selection
0,40,practice,1,apple,parent,Alright this fruit it has a leaf on it,
1,40,practice,1,apple,child,,child
8,40,practice,4,apple,child,This vegetable is red,
9,40,practice,4,apple,parent,Is it a vegetable,
10,40,practice,4,apple,child,I mean fruit,
11,40,practice,4,apple,parent,It's red,
12,40,practice,4,apple,child,Yeah,
13,40,practice,4,apple,parent,,parent
2,40,practice,2,artichoke,child,This fruit has a stem on it,
3,40,practice,2,artichoke,parent,Ooh,
4,40,practice,2,artichoke,parent,,parent
5,40,practice,2,artichoke,parent,That was a vegetable,
14,40,practice,5,artichoke,parent,This vegetable kinda looks like it has scales,
15,40,practice,5,artichoke,child,,child
6,40,practice,3,onion,parent,This vegetable is super stinky,
7,40,practice,3,onion,child,,child
16,40,practice,6,onion,child,This vegetable has a stem and some little leaves on the bottom,
17,40,practice,6,onion,parent,,parent
18,40,practice,6,onion,parent,The roots coming out at the bottom,
50,40,test,10,A1,child,This guy looks like he's running,
51,40,test,10,A1,parent,Mmm,
52,40,test,10,A1,parent,,parent
78,40,test,20,A1,parent,This guy is could be running away,
79,40,test,20,A1,child,,child
86,40,test,22,A1,child,Runner,
87,40,test,22,A1,parent,,parent
115,40,test,34,A1,parent,The runner,
116,40,test,34,A1,child,,child
34,40,test,5,B1,parent,Uh this guys looks like he's walking away kinda sad,
35,40,test,5,B1,child,,child
66,40,test,15,B1,child,This guy looks like he's sad,
67,40,test,15,B1,parent,,parent
93,40,test,25,B1,parent,Walking away sad,
94,40,test,25,B1,child,,child
133,40,test,39,B1,child,The walker,
134,40,test,39,B1,parent,,parent
135,40,test,39,B1,parent,He looks so sad,
27,40,test,2,C1,child,This guy this looks like he's standing on his hands and doing a downward dog at the same time,
28,40,test,2,C1,parent,Oh that's a good one,
29,40,test,2,C1,parent,,parent
68,40,test,16,C1,parent,This guy looks like he's on the ground,
69,40,test,16,C1,child,,child
104,40,test,30,C1,child,The downward dog,
105,40,test,30,C1,parent,,parent
111,40,test,32,C1,parent,Downward dog,
112,40,test,32,C1,child,,child
30,40,test,3,D1,parent,OK this one looks like he's laying down and reading a book,
