Timeline.ordinal,subid,type,trial,target,person,utterance,selection
0,23,practice,1,apple,child,,child
11,23,practice,4,apple,child,"it's a round fruit, it has like a stem",
12,23,practice,4,apple,parent,,parent
4,23,practice,2,artichoke,child,"it has like a stem, and things that leaf things that go on it",
5,23,practice,2,artichoke,parent,is there any other way to describe it?,
6,23,practice,2,artichoke,child,so it has like a bunch of zzz on it,
7,23,practice,2,artichoke,parent,okay,
8,23,practice,2,artichoke,parent,,parent
13,23,practice,5,artichoke,parent,"this is.. it kind of looks like a brussel sprout, but this is an artichoke, so it should be",
14,23,practice,5,artichoke,child,,child
9,23,practice,3,onion,parent,so can you pick the onion? it's like smooth,
10,23,practice,3,onion,child,,child
15,23,practice,6,onion,child,it's smooth,
16,23,practice,6,onion,parent,,parent
23,23,test,4,A1,child,this time he's like walking with his head in his hands,
24,23,test,4,A1,parent,,parent
43,23,test,14,A1,parent,"um this one's, well, you know, not holding anything and he's kind of skipping",
44,23,test,14,A1,child,,child
77,23,test,30,A1,child,this one's skipping,
78,23,test,30,A1,parent,,parent
98,23,test,40,A1,parent,it's kinda skipping,
99,23,test,40,A1,child,,child
25,23,test,5,B1,parent,this is like somebody who's walking with his head down like he’s sad,
26,23,test,5,B1,child,,child
49,23,test,17,B1,child,This one is walking sad,
50,23,test,17,B1,parent,,parent
62,23,test,23,B1,parent,This one's sad walking,
63,23,test,23,B1,child,,child
96,23,test,39,B1,child,this one's walking sad,
97,23,test,39,B1,parent,,parent
19,23,test,2,C1,child,"looks like someone bowing, bending",
20,23,test,2,C1,parent,,parent
51,23,test,18,C1,parent,This one's bowing down,
52,23,test,18,C1,child,,child
60,23,test,22,C1,child,This one's bowing down,
61,23,test,22,C1,parent,,parent
94,23,test,38,C1,parent,this one's bowing down,
95,23,test,38,C1,child,,child
31,23,test,8,D1,child,zzz (inaudible due to cough),
32,23,test,8,D1,parent,,parent
39,23,test,12,D1,parent,this one is laying on the ground,
40,23,test,12,D1,child,,child
73,23,test,28,D1,child,this one’s laying on the bed,
74,23,test,28,D1,parent,,parent
81,23,test,32,D1,parent,this one's laying down,
82,23,test,32,D1,child,,child
21,23,test,3,E1,parent,"this looks like, kind of like someone jumping up flying",
22,23,test,3,E1,child,,child
45,23,test,15,E1,child,this one is jumping in the air,
46,23,test,15,E1,parent,,parent
67,23,test,25,E1,parent,"this one is um, jumping with his arms out",
68,23,test,25,E1,child,,child
92,23,test,37,E1,child,this one jumps in the air,
93,23,test,37,E1,parent,,parent
27,23,test,6,F1,child,"it's someone running with like, their arms out",
28,23,test,6,F1,parent,,parent
56,23,test,20,F1,parent,"this one, yeah, it's not the one with a tail, he looks just like very crazy",
57,23,test,20,F1,child,,child
64,23,test,24,F1,child,"zzz, this one's jumping like he's crazy",
65,23,test,24,F1,parent,he's crazy,
66,23,test,24,F1,parent,,parent
85,23,test,34,F1,parent,this one's crazy pose,
86,23,test,34,F1,child,,child
35,23,test,10,G1,child,"this is someone sitting and looking down, sad",
36,23,test,10,G1,parent,,parent
47,23,test,16,G1,parent,"this one is sitting down, looking down",
48,23,test,16,G1,child,,child
69,23,test,26,G1,child,this one's in a round zzz,
70,23,test,26,G1,parent,,parent
90,23,test,36,G1,parent,this one's sitting down,
91,23,test,36,G1,child,,child
33,23,test,9,H1,parent,"this is somebody standing up, holding something",
34,23,test,9,H1,child,,child
37,23,test,11,H1,child,someone holding a bowl,
38,23,test,11,H1,parent,,parent
75,23,test,29,H1,parent,this one is staying and holding a bowl,
76,23,test,29,H1,child,,child
87,23,test,35,H1,child,this one has a bowl,
88,23,test,35,H1,parent,,parent
29,23,test,7,I1,parent,this one looks like somebody's holding a bowl,
30,23,test,7,I1,child,,child
41,23,test,13,I1,child,someone holding a bowl,
42,23,test,13,I1,parent,,parent
58,23,test,21,I1,parent,This one is holding a bowl,
59,23,test,21,I1,child,,child
83,23,test,33,I1,child,this one has a bowl,
84,23,test,33,I1,parent,,parent
17,23,test,1,K1,parent,"it's like the skinniest one, kinda looks like a man holding out his hand",
18,23,test,1,K1,child,,child
53,23,test,19,K1,child,This one has like a dog tail,
54,23,test,19,K1,parent,It does look like a tail,
55,23,test,19,K1,parent,,parent
71,23,test,27,K1,parent,this is that one that has a tail,
72,23,test,27,K1,child,,child
79,23,test,31,K1,child,this one's bowing down,
80,23,test,31,K1,parent,,parent
1,23,test,,,parent,"ok, now you tell me which one to touch, so tell me which one to touch in the blue square",
2,23,test,,,child,do you have the square,
3,23,test,,,parent,"I don't have a blue square, so I don't know which",
