Timeline.ordinal,subid,type,trial,target,person,utterance,selection
0,17,practice,1,apple,parent,"you eat it, it's shiny, it's a fruit",
1,17,practice,1,apple,child,apple,
2,17,practice,1,apple,parent,"Okay, push it",
3,17,practice,1,apple,child,,child
12,17,practice,4,apple,child,it's healthy and shiny and very.. and it's a fruit,
13,17,practice,4,apple,parent,"Okay, sounds familiar",
14,17,practice,4,apple,child,"and, it has a stem on it",
15,17,practice,4,apple,parent,,parent
5,17,practice,2,artichoke,child,"it's, um healthy, it looks like you can chew",
6,17,practice,2,artichoke,parent,"okay, what is it?",
7,17,practice,2,artichoke,child,"hmmm, it's a vegetable",
8,17,practice,2,artichoke,parent,,parent
16,17,practice,5,artichoke,child,"I know what this one is, it's broccoli",
17,17,practice,5,artichoke,parent,you don't know that yet,
18,17,practice,5,artichoke,child,"yes I do! because it's what back and forth, back and forth, back and forth",
19,17,practice,5,artichoke,parent,"if you think you know, do you want me to describe it first?",
20,17,practice,5,artichoke,child,,child
9,17,practice,3,onion,parent,"It's a vegetable, it sometimes make your breath stinky, you eat it on burgers",
10,17,practice,3,onion,child,I know what it is--onion!,
11,17,practice,3,onion,child,,child
21,17,practice,6,onion,child,"It's a part of a hamburger, very stinky, and it comes from, it comes from trees",
22,17,practice,6,onion,parent,Does it?,
23,17,practice,6,onion,parent,,parent
46,17,test,7,A1,parent,okay this person is like running or skipping,
47,17,test,7,A1,child,,child
69,17,test,15,A1,child,it's the person who's skipping,
70,17,test,15,A1,parent,,parent
98,17,test,27,A1,parent,this person is running,
99,17,test,27,A1,child,,child
127,17,test,39,A1,child,this person is laying down,
128,17,test,39,A1,parent,,parent
27,17,test,2,B1,child,"it's a person and he's sad, he's walking like this",
28,17,test,2,B1,parent,,parent
60,17,test,12,B1,parent,okay this person is like walking sad with their head down,
61,17,test,12,B1,child,,child
108,17,test,30,B1,child,this person is walking down sadly,
109,17,test,30,B1,parent,,parent
116,17,test,34,B1,parent,this person just lost his dog,
117,17,test,34,B1,child,,child
38,17,test,5,C1,parent,this person looks like he's bending down looking for something,
39,17,test,5,C1,child,,child
58,17,test,11,C1,child,it's a person looking for something,
59,17,test,11,C1,parent,,parent
93,17,test,25,C1,parent,this person lost their fortnight card,
94,17,test,25,C1,child,,child
95,17,test,25,C1,child,no I didn't!,
123,17,test,37,C1,child,"this person is saying, ""more tea, sir?""",
124,17,test,37,C1,parent,,parent
56,17,test,10,D1,child,it's a person laying down,
57,17,test,10,D1,parent,,parent
76,17,test,18,D1,parent,okay this person is laying down with his book,
77,17,test,18,D1,child,,child
96,17,test,26,D1,child,it's the person laying down,
97,17,test,26,D1,parent,,parent
120,17,test,36,D1,parent,this person is scrolling on,
121,17,test,36,D1,child,,child
122,17,test,36,D1,parent,social media,
30,17,test,3,E1,parent,"it's a person, he could be sitting down, it looks like he's weeping with his head in his chest",
31,17,test,3,E1,child,,child
62,17,test,13,E1,child,"this person is ""whoo"", like this, it's the person with a triangle head, I mean, square, triangle,  I don't know what it's called but he jumping",
63,17,test,13,E1,parent,,parent
64,17,test,13,E1,parent,He's emotional?,
65,17,test,13,E1,child,He's kinda emotional,
83,17,test,21,E1,parent,"this person is like, flying in the sky",
84,17,test,21,E1,child,,child
85,17,test,21,E1,parent,jumping high,
114,17,test,33,E1,child,this is the person who's walking down sadly,
115,17,test,33,E1,parent,,parent
25,17,test,1,F1,parent,"it's like a bird, it flies maybe",
26,17,test,1,F1,child,,child
78,17,test,19,F1,child,this person is strong and kept doing this,
79,17,test,19,F1,parent,,parent
