Timeline.ordinal,subid,type,trial,target,person,utterance,selection
0,36,practice,1,apple,parent,Apple,
22,36,practice,4,apple,child,Apple,
23,36,practice,4,apple,parent,,parent
1,36,practice,2,artichoke,child,,child
4,36,practice,2,artichoke,parent,Which one is it is it the onion or the artichoke,
5,36,practice,2,artichoke,child,Artichoke,
7,36,practice,2,artichoke,parent,,parent
24,36,practice,5,artichoke,parent,Artichoke,
25,36,practice,5,artichoke,child,,child
8,36,practice,3,onion,parent,What did we talk about today,
9,36,practice,3,onion,child,Hm,
10,36,practice,3,onion,parent,People are like,
11,36,practice,3,onion,child,Onions,
12,36,practice,3,onion,child,This is the onion,
13,36,practice,3,onion,parent,Which one is the onion,
14,36,practice,3,onion,child,The one on this side,
16,36,practice,3,onion,child,It has like zzz and it's like a like a a sphere and has a stick at the bottom,
18,36,practice,3,onion,parent,It's an you know what an artichoke is right,
20,36,practice,3,onion,parent,Well it's not the artichoke pick don't pick the artichoke,
21,36,practice,3,onion,child,,child
26,36,practice,6,onion,child,Onion,
27,36,practice,6,onion,parent,,parent
51,36,test,6,A1,child,This one looks like a person who's running,
52,36,test,6,A1,parent,Fast or slow,
53,36,test,6,A1,child,Jogging,
54,36,test,6,A1,parent,,parent
78,36,test,14,A1,parent,This one looks like someone jogging,
79,36,test,14,A1,child,,child
98,36,test,22,A1,child,He's this is looks like somebody jog jogging,
99,36,test,22,A1,parent,,parent
148,36,test,38,A1,parent,This looks like skip skip skip to my lou,
149,36,test,38,A1,child,,child
38,36,test,2,B1,child,The one who's walking lonely,
39,36,test,2,B1,parent,Look like he's sad,
40,36,test,2,B1,child,Yeah,
41,36,test,2,B1,parent,Not the one that's holding a bowl right,
42,36,test,2,B1,child,Yeah not the one that's holding a bowl,
43,36,test,2,B1,parent,,parent
73,36,test,12,B1,parent,This looks like someone who's walking sad and lonely,
74,36,test,12,B1,child,,child
106,36,test,26,B1,parent,This one look this one looks like somebody walking lonely,
108,36,test,26,B1,parent,,parent
134,36,test,32,B1,child,,child
66,36,test,10,C1,child,This one this one it look like two feet and then there there's one rock,
67,36,test,10,C1,parent,Two feet and one rock oh like someone's kicking a ball,
68,36,test,10,C1,parent,,parent
69,36,test,10,C1,parent,Like soccer,
92,36,test,20,C1,parent,This one looks like someone playing soccer,
93,36,test,20,C1,child,,child
102,36,test,24,C1,child,This looks like someone kicking a ball in soccer,
103,36,test,24,C1,parent,,parent
137,36,test,34,C1,parent,Oh oh oh oh oh oh oh,
138,36,test,34,C1,child,,child
55,36,test,7,D1,parent,Ah I'm sleepy,
56,36,test,7,D1,child,Um,
57,36,test,7,D1,parent,The the one who looks sleepy,
58,36,test,7,D1,child,,child
80,36,test,15,D1,child,This one looks like someone sleeping,
81,36,test,15,D1,parent,,parent
100,36,test,23,D1,parent,Ah I'm sleepy,
101,36,test,23,D1,child,,child
146,36,test,37,D1,child,Ah I'm sleepy,
147,36,test,37,D1,parent,,parent
34,36,test,1,E1,parent,So the the blue box is around the one that looks like he's falling down,
35,36,test,1,E1,parent,And,
36,36,test,1,E1,child,,child
90,36,test,19,E1,child,This one looks like somebody's trying to jump to catch a ball,
91,36,test,19,E1,parent,,parent
111,36,test,27,E1,parent,This one looks like someone saying hooray,
112,36,test,27,E1,child,,child
139,36,test,35,E1,child,Hooray I'm gonna catch a ball,
140,36,test,35,E1,parent,,parent
45,36,test,3,F1,parent,This one looks like the one that's trying to catch a basketball that's in the air,
46,36,test,3,F1,child,,child
86,36,test,17,F1,child,This looks like someone try... running to catch a ball,
87,36,test,17,F1,parent,,parent
96,36,test,21,F1,parent,This is what you do when you're at basketball class and the ball misses,
97,36,test,21,F1,child,,child
135,36,test,33,F1,child,Yay hooray I'm gonna catch a ball,
136,36,test,33,F1,parent,,parent
49,36,test,5,G1,parent,Oh this one looks like the person that's praying on their knees,
50,36,test,5,G1,child,,child
75,36,test,13,G1,child,This one is somebody on his on her on,
76,36,test,13,G1,child,This this picture is somebody on their knees playing,
77,36,test,13,G1,parent,,parent
117,36,test,29,G1,parent,Someone doing some squats,
118,36,test,29,G1,child,,child
