Timeline.ordinal,subid,type,trial,target,person,utterance,selection
0,21,practice,1,apple,parent,An apple,
1,21,practice,1,apple,parent,Okay tap on it! Go!,
2,21,practice,1,apple,child,,child
9,21,practice,4,apple,parent,I think it's your turn,
10,21,practice,4,apple,child,"Oh, the apple's in the blue box",
11,21,practice,4,apple,parent,,parent
3,21,practice,2,artichoke,child,A radish?,
4,21,practice,2,artichoke,parent,What? A radish?,
5,21,practice,2,artichoke,parent,,parent
6,21,practice,2,artichoke,parent,I think it's an onion,
12,21,practice,5,artichoke,parent,An artichoke!,
13,21,practice,5,artichoke,child,Press?,
14,21,practice,5,artichoke,parent,No you press it!,
15,21,practice,5,artichoke,child,,child
7,21,practice,3,onion,parent,"Um, uh, an onion",
8,21,practice,3,onion,child,,child
17,21,practice,6,onion,child,An artichoke,
18,21,practice,6,onion,parent,Yes!,
19,21,practice,6,onion,parent,,parent
45,21,test,8,A1,child,"The person that is, like, it's running",
46,21,test,8,A1,parent,,parent
65,21,test,16,A1,parent,"Uh, the one who is running",
66,21,test,16,A1,child,,child
94,21,test,28,A1,child,A person holding a tray,
95,21,test,28,A1,parent,,parent
108,21,test,34,A1,parent,One who's running,
109,21,test,34,A1,child,,child
30,21,test,2,B1,child,A one that's bending over,
31,21,test,2,B1,parent,,parent
60,21,test,14,B1,parent,Person who is walking contemplatively,
61,21,test,14,B1,parent,thoughtfully,
62,21,test,14,B1,child,,child
81,21,test,22,B1,child,"Uh, person that's sadly walking",
82,21,test,22,B1,parent,,parent
83,21,test,22,B1,parent,Sadly walking,
104,21,test,32,B1,parent,The one who's walking slowly sadly,
105,21,test,32,B1,child,,child
38,21,test,6,C1,child,A person that's running,
39,21,test,6,C1,parent,,parent
75,21,test,20,C1,parent,The one who is bending over touching the ground,
76,21,test,20,C1,child,,child
90,21,test,26,C1,child,A person that's bending,
91,21,test,26,C1,parent,,parent
124,21,test,40,C1,parent,the one who is bent over,
125,21,test,40,C1,child,Both of them are bent over,
126,21,test,40,C1,parent,bent over on the ground,
127,21,test,40,C1,child,,child
36,21,test,5,D1,parent,A man- a person who's lying down and reading a book,
37,21,test,5,D1,child,,child
53,21,test,11,D1,parent,Do you have a box?,
54,21,test,11,D1,child,"Um, the one that has a book is praying",
55,21,test,11,D1,parent,,parent
92,21,test,27,D1,parent,A person who is lying down and reading a book,
93,21,test,27,D1,child,,child
106,21,test,33,D1,child,The one that's running,
107,21,test,33,D1,parent,,parent
28,21,test,1,E1,parent,"Okay, the man that's looking like he's leaping in the air",
29,21,test,1,E1,child,,child
