Timeline.ordinal,subid,type,trial,target,person,utterance,selection
73,21,test,19,E1,child,"Okay, um, the one that's jumping up",
74,21,test,19,E1,parent,,parent
84,21,test,23,E1,parent,A person who's leaping into the air,
85,21,test,23,E1,child,,child
115,21,test,37,E1,child,The one that's running,
116,21,test,37,E1,parent,,parent
47,21,test,9,F1,parent,"A person who looks like their looking up, their pointing up to the sky",
48,21,test,9,F1,child,,child
67,21,test,17,F1,child,The one that looks like a dog,
68,21,test,17,F1,child,With the arrow,
69,21,test,17,F1,parent,,parent
88,21,test,25,F1,parent,A person who's pointing up to the sky,
89,21,test,25,F1,child,,child
110,21,test,35,F1,child,The one that's leaping up into the sky,
111,21,test,35,F1,parent,,parent
34,21,test,4,G1,child,A one that's sitting down,
35,21,test,4,G1,parent,,parent
56,21,test,12,G1,parent,Person who's sitting down,
57,21,test,12,G1,child,,child
86,21,test,24,G1,child,Person that's sitting,
87,21,test,24,G1,parent,,parent
112,21,test,36,G1,parent,The one who is sitting,
113,21,test,36,G1,parent,Like looking down,
114,21,test,36,G1,child,,child
40,21,test,7,H1,parent,A person who is praying,
41,21,test,7,H1,parent,"Oh, um, praying like in a church, not at the mosque",
42,21,test,7,H1,child,Hmm,
43,21,test,7,H1,parent,A person who looks like they're holding a book,
44,21,test,7,H1,child,,child
58,21,test,13,H1,child,Person that's running,
59,21,test,13,H1,parent,,parent
96,21,test,29,H1,parent,A person who is holding a book,
97,21,test,29,H1,child,,child
102,21,test,31,H1,child,"Um, the one who's bending over",
103,21,test,31,H1,parent,,parent
32,21,test,3,I1,parent,A man who has a tray in his hand,
33,21,test,3,I1,child,,child
63,21,test,15,I1,child,One that's pointing up to the sky,
64,21,test,15,I1,parent,,parent
79,21,test,21,I1,parent,"Man holding a tray, a man holding a tray",
80,21,test,21,I1,child,,child
121,21,test,39,I1,parent,Your turn,
122,21,test,39,I1,child,The one that has a tray,
123,21,test,39,I1,parent,,parent
49,21,test,10,K1,child,"Uh, the one that's swimming",
50,21,test,10,K1,parent,Running?,
51,21,test,10,K1,child,swimming,
52,21,test,10,K1,parent,,parent
70,21,test,18,K1,parent,"Uh, the one who looks like they're bending over and leaning on something, not running",
71,21,test,18,K1,child,,child
72,21,test,18,K1,child,That looks like they're touching the sky,
98,21,test,30,K1,parent,"A person who's, I mean the dog",
99,21,test,30,K1,parent,,parent
117,21,test,38,K1,parent,"The one who looks like, you call it a dog",
118,21,test,38,K1,child,Yeah!,
119,21,test,38,K1,parent,Go ahead,
120,21,test,38,K1,child,,child
16,21,test,,,parent,Your turn,
20,21,test,,,parent,"So if you get something with a blue box around it, it means it's your turn to speak and tell me which one to pick. If you don't have a blue box, you're telling me what to do. If you have the blue box, you're the boss",
21,21,test,,,child,Okay,
22,21,test,,,parent,Or is your box blue or red?,
23,21,test,,,child,Okay let's just do it,
24,21,test,,,parent,"Okay I think, so can we start?",
25,21,test,,,parent,"Hey are you ready, are you excited?",
26,21,test,,,child,You go first,
27,21,test,,,parent,Well we don't know who's first. Okay,
77,21,test,,,parent,"Good job, time for next round. Does it say that on yours? Look at the top",
78,21,test,,,parent,Okay here we go,
100,21,test,,,parent,"Good job, time for next round. Can you see if it says that on yours?",
101,21,test,,,parent,"Do you have a box, honey?",
