subid,type,trial,target,person,utterance,selection,correct
15,practice,1,apple,parent,yyy I want you to pick the apple,,Y
15,practice,1,apple,child,,child,Y
15,practice,4,apple,parent,Ok which one should I pick?,,N
15,practice,4,apple,child,you should pick the banana,,N
15,practice,4,apple,parent,,parent,N
15,practice,2,artichoke,parent,Which one should I pick? What's in the blue box?,,Y
15,practice,2,artichoke,child,This one,,Y
15,practice,2,artichoke,parent,No you have to tell me what's in the blue box,,Y
15,practice,2,artichoke,parent,"Is it an onion or an artichoke? Does it have lots of leaves? I'll have to pick it, you are the leader",,Y
15,practice,2,artichoke,parent,Does it have lots of leaves? Or not. Does it look like a pine cone? Look like a round pine cone?,,Y
15,practice,2,artichoke,child,Yeah,,Y
15,practice,2,artichoke,parent,,parent,Y
15,practice,5,artichoke,parent,"Pick the artichoke, the one that looks like a pine cone",,Y
15,practice,5,artichoke,child,,child,Y
15,practice,3,onion,parent,"All right, my turn. I want you to pick an onion. Don't pick the one that looks like a pine cone, the round one",,Y
15,practice,3,onion,child,,child,Y
15,practice,6,onion,parent,which one do I pick,,Y
15,practice,6,onion,child,the onion!,,Y
15,practice,6,onion,parent,the onion?,,Y
15,practice,6,onion,parent,,parent,Y
15,test,2,A1,parent,"Okay, you tell me, is it the one that's running, or the one that's standing still?",,N
15,test,2,A1,child,the one that's standing still,,N
15,test,2,A1,parent,,parent,N
15,test,16,A1,parent,I want you to pick the one that's walking,,Y
15,test,16,A1,child,,child,Y
15,test,26,A1,parent,what do you want me to pick? what's in the blue square?,,Y
15,test,26,A1,child,the walking okay?,,Y
15,test,26,A1,parent,,parent,Y
15,test,40,A1,parent,I want you to pick the one that's walking,,Y
15,test,40,A1,child,,child,Y
15,test,7,B1,child,walking,,Y
15,test,7,B1,parent,,parent,Y
15,test,7,B1,parent,Pick the one that's walking,,Y
15,test,7,B1,child,,child,Y
15,test,11,B1,parent,OK which one do I pick?,,N
15,test,11,B1,child,the one that's standing up,,N
15,test,11,B1,parent,Ok he's not walking,,N
15,test,11,B1,child,Yeah,,N
15,test,11,B1,parent,,parent,N
15,test,23,B1,parent,pick the one that's walking,,Y
15,test,23,B1,child,,child,Y
15,test,35,B1,parent,which one do I pick?,,N
15,test,35,B1,child,this one with the hat,,N
15,test,35,B1,parent,,parent,N
15,test,9,C1,parent,pick the one that's bending down,,Y
15,test,9,C1,child,"Okay, this one?",,Y
15,test,9,C1,parent,the one with his head down,,Y
15,test,9,C1,child,,child,Y
15,test,9,C1,child,I pick the one that's head down,,Y
15,test,15,C1,parent,should I pick the one that's walking or the one that's kneeling down?,,Y
15,test,15,C1,child,kneeling down,,Y
15,test,15,C1,parent,,parent,Y
15,test,29,C1,parent,I want you to do the one with the head down,,Y
15,test,29,C1,child,head down?,,Y
15,test,29,C1,child,,child,Y
15,test,39,C1,parent,which one do I gotta pick,,Y
15,test,39,C1,child,"um, the one that's laying down on the floor in a square",,Y
15,test,39,C1,parent,,parent,Y
15,test,10,D1,parent,"Okay, the one lying down or the one jumping up?",,Y
15,test,10,D1,child,You have jump up or lying down okay?,,Y
15,test,10,D1,parent,which one is in the square,,Y
15,test,10,D1,child,"You have to pick one of these, and you've got to pick this one",,Y
15,test,10,D1,parent,"right. but I don't know which one it is, you have to tell me what's in the blue square",,Y
15,test,10,D1,child,the one laying down,,Y
15,test,10,D1,parent,,parent,Y
15,test,20,D1,parent,I want you to pick the one that's laying down,,Y
15,test,20,D1,child,,child,Y
15,test,30,D1,parent,which one should I pick? the one that's laying down? or the one walking,,Y
15,test,30,D1,child,the one laying down. can I push this too?,,Y
15,test,30,D1,parent,"yeah, but it won't work, it only works if I push it.",,Y
15,test,30,D1,parent,,parent,Y
15,test,38,D1,parent,i want you to pick the one that's laying down on the floor,,Y
15,test,38,D1,child,Okay,,Y
15,test,38,D1,child,,child,Y
