subid,type,trial,target,person,utterance,selection,correct
65,practice,1,apple,parent,"so, you see an apple?",,Y
65,practice,1,apple,child,yes,,Y
65,practice,1,apple,child,,child,Y
65,practice,4,apple,parent,which one do I press? Which has the blue box around it?,,Y
65,practice,4,apple,child,Apple,,Y
65,practice,4,apple,parent,okay,,Y
65,practice,4,apple,parent,,parent,Y
65,practice,2,artichoke,child,the one with,,Y
65,practice,2,artichoke,parent,which one has a blue box?,,Y
65,practice,2,artichoke,child,it's like a pineapple or something,,Y
65,practice,2,artichoke,parent,ok,,Y
65,practice,2,artichoke,parent,,parent,Y
65,practice,5,artichoke,parent,"Okay this is called an artichoke, it has lots of different pieces on it",,Y
65,practice,5,artichoke,child,,child,Y
65,practice,3,onion,parent,"ok. alright, so this one it's an onion",,Y
65,practice,3,onion,parent,so it doesn't look like the pineapple,,Y
65,practice,3,onion,parent,it's the one that's smooth on the outside,,Y
65,practice,3,onion,child,what's this?,,Y
65,practice,3,onion,parent,"it has, it's smooth",,Y
65,practice,3,onion,child,"i know, i know",,Y
65,practice,3,onion,child,,child,Y
65,practice,6,onion,parent,which one do I press?,,Y
65,practice,6,onion,child,the plum,,Y
65,practice,6,onion,parent,ready to go on?,parent,Y
65,test,8,A1,parent,which one do I pick?,,Y
65,test,8,A1,child,it's the one that's standing on one foot,,Y
65,test,8,A1,parent,,parent,Y
65,test,14,A1,parent,"okay, this is the person with her foot up in the air",,Y
65,test,14,A1,child,,child,Y
65,test,24,A1,parent,"okay, which one?",,Y
65,test,24,A1,child,one foot,,Y
65,test,24,A1,parent,,parent,Y
65,test,24,A1,child,the girl that's on one foot,,Y
65,test,24,A1,parent,okay,,Y
65,test,34,A1,parent,"okay, this is the woman walking backwards",,Y
65,test,34,A1,child,,child,Y
65,test,34,A1,child,but I don't see her walking backwards,,Y
65,test,3,B1,parent,"okay, this one looks like the person walking away",,Y
65,test,3,B1,child,,child,Y
65,test,17,B1,parent,which one do I pick?,,N
65,test,17,B1,child,the one that's doing this,,N
65,test,17,B1,parent,okay,,N
65,test,17,B1,parent,,parent,N
65,test,27,B1,parent,"uh, this is not the person lying down, it's the person walking back",,Y
65,test,27,B1,child,,child,Y
65,test,37,B1,parent,which one?,,Y
65,test,37,B1,child,the one that's walking away,,Y
65,test,37,B1,parent,,parent,Y
65,test,37,B1,child,and the otherguy that's holding a bowl,,Y
65,test,9,C1,parent,"okay, uh, this one the person's got his head down on the ground",,Y
65,test,9,C1,child,,child,Y
65,test,19,C1,parent,okay which one do I get?,,Y
65,test,19,C1,child,the one that's laying down,,Y
65,test,19,C1,parent,okay,,Y
65,test,19,C1,parent,,parent,Y
65,test,29,C1,parent,"okay, the one with his head down",,Y
65,test,29,C1,child,,child,Y
65,test,39,C1,parent,which one do I do?,,Y
65,test,39,C1,child,the one that's laying down,,Y
65,test,39,C1,parent,okay,,Y
65,test,39,C1,parent,,parent,Y
