subid,type,trial,target,person,utterance,selection,correct
16,practice,1,apple,parent,Apple,,Y
16,practice,1,apple,child,,child,Y
16,practice,4,apple,child,Apple,,Y
16,practice,4,apple,parent,Apple,,Y
16,practice,4,apple,child,Yeah,,Y
16,practice,4,apple,parent,,parent,Y
16,practice,2,artichoke,child,I don't know what that is,,Y
16,practice,2,artichoke,child,Kinda looks like pineapple,,Y
16,practice,2,artichoke,parent,Kinda like a pineapple,,Y
16,practice,2,artichoke,parent,,parent,Y
16,practice,2,artichoke,parent,It's an artichoke,,Y
16,practice,2,artichoke,parent,"By the way or a or a brussel sprout maybe no, artichoke",,Y
16,practice,5,artichoke,child,Um artichoke,,Y
16,practice,5,artichoke,child,,child,Y
16,practice,3,onion,parent,Um onion,,Y
16,practice,3,onion,child,,child,Y
16,practice,6,onion,child,Onion,,Y
16,practice,6,onion,parent,,parent,Y
16,test,6,A1,child,It looks like a person dancing,,Y
16,test,6,A1,parent,Oh,,Y
16,test,6,A1,parent,,parent,Y
16,test,6,A1,child,With a diamond on its head,,Y
16,test,20,A1,parent,This looks like a person running with a diamond head,,Y
16,test,20,A1,child,,child,Y
16,test,20,A1,child,With a bunch of triangles,,Y
16,test,22,A1,child,This looks like somebody running with a diamond head,,Y
16,test,22,A1,parent,,parent,Y
16,test,34,A1,parent,This is somebody with a diamond head running,,Y
16,test,34,A1,child,,child,Y
16,test,9,B1,parent,This looks like somebody,,Y
16,test,9,B1,parent,Looking at the ground and walking,,Y
16,test,9,B1,child,,child,Y
16,test,11,B1,child,It looks like someone looking at the ground,,Y
16,test,11,B1,child,And walking,,Y
16,test,11,B1,parent,,parent,Y
16,test,29,B1,parent,This one looks like a person with a square head looking at the ground standing,,Y
16,test,29,B1,child,,child,Y
16,test,39,B1,child,This,,Y
16,test,39,B1,child,This is the one guy looking at the ground sadly,,Y
16,test,39,B1,parent,,parent,Y
16,test,10,C1,child,The the zzz the zzz was like a square on that for example feet walking,,N
