age,person,subid,measure,score
8,child,20,aoa,4.375098038961039
8,child,20,log_freq,7181.570028011204
8,child,21,mtld,17.375
8,child,21,types,46
8,child,21,aoa,4.088945921052631
8,child,21,log_freq,10247.711558307534
8,child,23,mtld,21.920180383314545
8,child,23,types,49
8,child,23,aoa,4.2640970000000005
8,child,23,log_freq,6242.642475171887
8,child,30,mtld,20.043298192771083
8,child,30,types,96
8,child,30,aoa,4.250732237762238
8,child,30,log_freq,7401.509872480461
8,child,33,mtld,15.66913184794385
8,child,33,types,44
8,child,33,aoa,4.051041377777778
8,child,33,log_freq,7851.8901960784315
8,child,34,mtld,19.666666666666668
8,child,34,types,63
8,child,34,aoa,4.219164648648649
8,child,34,log_freq,6722.241918388977
8,child,37,mtld,17.658473479948253
8,child,37,types,54
8,child,37,aoa,4.17209275
8,child,37,log_freq,8653.899286987522
8,child,40,mtld,21.631404478045944
8,child,40,types,48
8,child,40,aoa,4.428008406593407
8,child,40,log_freq,6325.147812971342
8,child,43,mtld,26.666666666666668
8,child,43,types,43
8,child,43,aoa,4.11666826
8,child,43,log_freq,5101.181960784314
8,child,47,mtld,29.615384615384617
8,child,47,types,94
8,child,47,aoa,4.2845491627906975
8,child,47,log_freq,11102.148850237769
8,child,49,mtld,18.96809767625049
8,child,49,types,58
8,child,49,aoa,4.0853310700636944
8,child,49,log_freq,9134.173847883103
8,child,57,mtld,17.5
8,child,57,types,41
8,child,57,aoa,4.309479520325203
8,child,57,log_freq,8431.908337318668
8,child,62,mtld,26.349056603773583
8,child,62,types,58
8,child,62,aoa,4.301254692913386
8,child,62,log_freq,6868.0063300910915
8,child,67,mtld,23.142857142857142
8,child,67,types,101
8,child,67,aoa,4.362911020746888
8,child,67,log_freq,7546.307379383288
8,child,71,mtld,28.183931278423444
8,child,71,types,83
8,child,71,aoa,4.327507918781726
8,child,71,log_freq,7116.806310341395
8,child,72,mtld,30.438556933483653
8,child,72,types,63
8,child,72,aoa,4.488707157303371
8,child,72,log_freq,5324.224939413968
8,child,75,mtld,38.745270168003636
8,child,75,types,122
8,child,75,aoa,4.374226352059925
8,child,75,log_freq,7290.840052875083
8,parent,10,mtld,27.646458734007865
8,parent,10,types,73
8,parent,10,aoa,4.3057443157894735
8,parent,10,log_freq,4429.78614837748
8,parent,14,mtld,18.42894437378673
8,parent,14,types,53
8,parent,14,aoa,4.353395079096045
8,parent,14,log_freq,9013.008529965658
8,parent,17,mtld,33.36896621078037
8,parent,17,types,96
8,parent,17,aoa,4.6109437657142855
8,parent,17,log_freq,5202.1718767507
8,parent,20,mtld,49.05830475257227
8,parent,20,types,134
8,parent,20,aoa,4.738344990654206
8,parent,20,log_freq,5493.53124427341
8,parent,21,mtld,19.59105431309904
8,parent,21,types,70
8,parent,21,aoa,4.037198765100671
8,parent,21,log_freq,8863.236741676537
8,parent,23,mtld,23.231250000000003
8,parent,23,types,63
8,parent,23,aoa,4.2693200366972475
8,parent,23,log_freq,6232.022845835582
8,parent,30,mtld,35.72164948453609
8,parent,30,types,118
8,parent,30,aoa,4.489231120689655
8,parent,30,log_freq,7618.026115618662
8,parent,33,mtld,18.69689386132784
8,parent,33,types,71
8,parent,33,aoa,4.158493720496894
8,parent,33,log_freq,8203.492388259652
8,parent,34,mtld,23.21944772244512
8,parent,34,types,71
8,parent,34,aoa,4.136190368686869
8,parent,34,log_freq,8761.28678946326
8,parent,37,mtld,30.034883720930235
8,parent,37,types,53
8,parent,37,aoa,4.3080794430379745
8,parent,37,log_freq,5380.229089103997
8,parent,40,mtld,37.746755014976856
8,parent,40,types,75
8,parent,40,aoa,4.497892845454546
8,parent,40,log_freq,6127.2183600713015
8,parent,43,mtld,36.32053422370618
8,parent,43,types,57
8,parent,43,aoa,4.190674205479453
8,parent,43,log_freq,4939.030889067956
8,parent,47,mtld,32.32
8,parent,47,types,99
8,parent,47,aoa,4.257623824915825
8,parent,47,log_freq,11186.461675579323
8,parent,49,mtld,33.279283525807216
8,parent,49,types,85
8,parent,49,aoa,4.200313169491525
8,parent,49,log_freq,9052.201285033787
8,parent,57,mtld,22.70469504168495
8,parent,57,types,61
8,parent,57,aoa,4.413823382653061
8,parent,57,log_freq,7855.219987995198
8,parent,62,mtld,29.767889356584487
8,parent,62,types,82
8,parent,62,aoa,4.2082799896907215
8,parent,62,log_freq,7814.727309480493
8,parent,67,mtld,29.609544468546638
8,parent,67,types,91
8,parent,67,aoa,4.471444928270042
8,parent,67,log_freq,7180.022834450236
8,parent,71,mtld,37.84559073728354
8,parent,71,types,121
8,parent,71,aoa,4.393930142857143
8,parent,71,log_freq,5527.86396609926
8,parent,72,mtld,42.146883357333884
8,parent,72,types,102
8,parent,72,aoa,4.475604923076923
8,parent,72,log_freq,6117.4259049773755
8,parent,75,mtld,42.959717314487634
8,parent,75,types,133
8,parent,75,aoa,4.285569723577236
8,parent,75,log_freq,8422.718794835007
