iterationName,id,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,age_group,age,button_pressed,utt_length,clean_utt,informativity
NA,kid_1,1,NA,bear,5447.2,familiar,far,grizzlybear.jpg,lion.jpg,NA,39,508825,kid,5,NA,4,bear,1
NA,kid_1,1,NA,shirt,5207.7,familiar,far,poloshirt.jpg,dress.jpg,NA,40,514540,kid,5,NA,5,shirt,1
NA,kid_1,1,NA,jellybeans,11175.7,familiar,far,jellybeans.jpg,pretzels.jpg,NA,41,526224,kid,5,NA,10,jellybeans,1
NA,kid_1,1,NA,car,5117.2,familiar,far,sedan.jpg,firetruck.jpg,NA,42,531849,kid,5,NA,3,car,1
NA,kid_1,1,NA,bird,5541.7,familiar,far,sparrow.jpg,squirrel.jpg,NA,43,537897,kid,5,NA,4,bird,1
NA,kid_1,1,NA,table,6022.9,familiar,far,diningtable.jpg,wardrobe.jpg,NA,44,544425,kid,5,NA,5,table,1
NA,kid_1,1,NA,going to a place,47282.9,tangram,far,A2.jpg,C1.jpg,NA,46,605936,kid,5,NA,16,go,
NA,kid_1,1,NA,going again,29029,tangram,far,B1.jpg,tangram-4.jpg,NA,47,635472,kid,5,NA,11,go,
NA,kid_1,1,NA,doing handprint,17157.1,tangram,far,tangram-90.jpg,tangram-120.jpg,NA,48,653136,kid,5,NA,15,handprint,
NA,kid_1,1,NA,walking again,13538.1,tangram,far,tangram-164.jpg,tangram-64.jpg,NA,49,667179,kid,5,NA,13,walk,
NA,kid_1,1,NA,going to help us,26107.9,tangram,far,tangram-55.jpg,tangram-143.jpg,NA,50,693795,kid,5,NA,16,help,
NA,kid_1,1,NA,going to tour,33441.8,tangram,far,tangram-67.jpg,G1.jpg,NA,51,727745,kid,5,NA,13,tour,
NA,kid_1,1,NA,going to walk again,34816.7,tangram,far,tangram-48.jpg,D1.jpg,NA,52,763069,kid,5,NA,19,walk,
NA,kid_1,1,NA,wash,17034.3,tangram,far,H1.jpg,tangram-8.jpg,NA,53,780612,kid,5,NA,4,wash,
NA,kid_1,1,NA,dog,9427.2,familiar,check,husky.jpg,dalmatian.jpg,NA,55,835981,kid,5,1,3,dog,
NA,kid_1,1,NA,polar bear,11236,familiar,check,polarbear.jpg,grizzlybear.jpg,NA,56,847722,kid,5,0,10,polarbear,
NA,kid_1,1,NA,table,10234.4,familiar,check,pug.jpg,rabbit.jpg,NA,57,858461,kid,5,1,5,table,
NA,kid_1,1,NA,bear,7096.2,familiar,check,firetruck.jpg,ambulance.jpg,NA,58,866062,kid,5,1,4,bear,
NA,kid_1,1,NA,shirt,7434.2,familiar,check,dressshirt.jpg,campshirt.jpg,NA,59,874005,kid,5,0,5,shirt,
NA,kid_1,1,NA,m&ms,7292.9,familiar,check,mnms.jpg,gummybears.jpg,NA,60,881804,kid,5,0,4,mnms,
NA,kid_1,1,NA,red flower,10462.5,familiar,check,rose.jpg,daisy.jpg,NA,61,892770,kid,5,0,10,redflower,
NA,kid_1,1,NA,bird,7251,familiar,check,parrot.jpg,pigeon.jpg,NA,62,900526,kid,5,0,4,bird,
NA,kid_1,1,NA,cup,6834.4,familiar,check,apple.jpg,pear.jpg,NA,63,907868,kid,5,1,3,cup,
NA,kid_10,10,NA,fish,6453.1,familiar,far,goldfish.jpg,iguana.jpg,NA,19,337905,kid,7,NA,4,fish,1
NA,kid_10,10,NA,bear,5291,familiar,far,grizzlybear.jpg,lion.jpg,NA,20,343703,kid,7,NA,4,bear,1
NA,kid_10,10,NA,jellybeans,9131,familiar,far,jellybeans.jpg,pretzels.jpg,NA,21,353339,kid,7,NA,10,jellybeans,1
NA,kid_10,10,NA,bird,5517.2,familiar,far,sparrow.jpg,squirrel.jpg,NA,22,359361,kid,7,NA,4,bird,1
NA,kid_10,10,NA,shirt,14903.8,familiar,far,poloshirt.jpg,dress.jpg,NA,23,374771,kid,7,NA,5,shirt,1
NA,kid_10,10,NA,car,5066.5,familiar,far,sedan.jpg,firetruck.jpg,NA,24,380343,kid,7,NA,3,car,1
NA,kid_10,10,NA,table,5274.3,familiar,far,diningtable.jpg,wardrobe.jpg,NA,25,386122,kid,7,NA,5,table,1
NA,kid_10,10,NA,wolf,4907.9,familiar,far,germanshepherd.jpg,cow.jpg,NA,26,391538,kid,7,NA,4,wolf,1
NA,kid_10,10,NA,person,10144,tangram,far,B1.jpg,tangram-4.jpg,NA,28,416736,kid,7,NA,6,person,
NA,kid_10,10,NA,person running,7712.5,tangram,far,tangram-67.jpg,G1.jpg,NA,29,424955,kid,7,NA,14,run,
NA,kid_10,10,NA,person walking,7053.9,tangram,far,tangram-90.jpg,tangram-120.jpg,NA,30,432517,kid,7,NA,14,walk,
NA,kid_10,10,NA,person stretching,10681.5,tangram,far,A2.jpg,C1.jpg,NA,31,443705,kid,7,NA,17,stretch,
NA,kid_10,10,NA,person kicking,8167.1,tangram,far,tangram-164.jpg,tangram-64.jpg,NA,32,452382,kid,7,NA,14,kick,
NA,kid_10,10,NA,person pointing,7976.8,tangram,far,H1.jpg,tangram-8.jpg,NA,33,460867,kid,7,NA,15,point,
NA,kid_10,10,NA,person running,6558.4,tangram,far,tangram-55.jpg,tangram-143.jpg,NA,34,467932,kid,7,NA,14,run,
NA,kid_10,10,NA,person running,6919.9,tangram,far,tangram-48.jpg,D1.jpg,NA,35,475359,kid,7,NA,14,run,
NA,kid_10,10,NA,table,5373.8,familiar,close,diningtable.jpg,picnictable.jpg,NA,37,491359,kid,7,NA,5,table,
NA,kid_10,10,NA,car,4619.9,familiar,close,sedan.jpg,sportscar.jpg,NA,38,496486,kid,7,NA,3,car,0
NA,kid_10,10,NA,bear,4642.6,familiar,close,grizzlybear.jpg,polarbear.jpg,NA,39,501633,kid,7,NA,4,bear,0
NA,kid_10,10,NA,dog,4477.1,familiar,close,germanshepherd.jpg,pug.jpg,NA,40,506617,kid,7,NA,3,dog,0
NA,kid_10,10,NA,jellybeans,8022.8,familiar,close,jellybeans.jpg,gummybears.jpg,NA,41,515146,kid,7,NA,10,jellybeans,1
NA,kid_10,10,NA,woodpecker,36919.7,familiar,close,sparrow.jpg,eagle.jpg,NA,42,552574,kid,7,NA,10,woodpecker,1
NA,kid_10,10,NA,shirt,4098.1,familiar,close,poloshirt.jpg,hawaiishirt.jpg,NA,43,557178,kid,7,NA,5,shirt,0
NA,kid_10,10,NA,fish,4854.9,familiar,close,goldfish.jpg,swordfish.jpg,NA,44,562541,kid,7,NA,4,fish,0
NA,kid_10,10,NA,person running,5882.2,tangram,close,tangram-55.jpg,N1.jpg,NA,46,583662,kid,7,NA,14,run,
NA,kid_10,10,NA,person pointing,7891.9,tangram,close,H1.jpg,I1.jpg,NA,47,592059,kid,7,NA,15,point,
NA,kid_10,10,NA,person running,5615.9,tangram,close,tangram-90.jpg,tangram-81.jpg,NA,48,598184,kid,7,NA,14,run,
NA,kid_10,10,NA,person walking,6737.1,tangram,close,A2.jpg,tangram-99.jpg,NA,49,605428,kid,7,NA,14,walk,
NA,kid_10,10,NA,person running,9145,tangram,close,tangram-48.jpg,tangram-187.jpg,NA,50,615080,kid,7,NA,14,run,
NA,kid_10,10,NA,person walking,5514.7,tangram,close,B1.jpg,P1.jpg,NA,51,621103,kid,7,NA,14,walk,
NA,kid_10,10,NA,person running,8619.6,tangram,close,tangram-67.jpg,tangram-32.jpg,NA,52,630228,kid,7,NA,14,run,
NA,kid_10,10,NA,person sitting,8979,tangram,close,tangram-164.jpg,tangram-183.jpg,NA,53,639712,kid,7,NA,14,sit,
NA,kid_10,10,NA,bird,17225.1,familiar,check,parrot.jpg,pigeon.jpg,NA,55,704627,kid,7,0,4,bird,
NA,kid_10,10,NA,polar bear,7388.6,familiar,check,polarbear.jpg,grizzlybear.jpg,NA,56,712522,kid,7,0,10,polarbear,
NA,kid_10,10,NA,m&ms,8846.1,familiar,check,mnms.jpg,gummybears.jpg,NA,57,721873,kid,7,0,4,mnms,
NA,kid_10,10,NA,shirt,7298.5,familiar,check,dressshirt.jpg,campshirt.jpg,NA,58,729676,kid,7,0,5,shirt,
NA,kid_10,10,NA,cup,12820,familiar,check,apple.jpg,pear.jpg,NA,59,742998,kid,7,1,3,cup,
NA,kid_10,10,NA,dog,6421.2,familiar,check,husky.jpg,dalmatian.jpg,NA,60,749927,kid,7,0,3,dog,
NA,kid_10,10,NA,table,6378.7,familiar,check,pug.jpg,rabbit.jpg,NA,61,756810,kid,7,1,5,table,
NA,kid_10,10,NA,red flower,8047.6,familiar,check,rose.jpg,daisy.jpg,NA,62,765364,kid,7,0,10,redflower,
NA,kid_10,10,NA,bear,11422.2,familiar,check,firetruck.jpg,ambulance.jpg,NA,63,777291,kid,7,1,4,bear,
NA,kid_11,11,NA,blue shirt,7774.4,familiar,far,poloshirt.jpg,dress.jpg,NA,19,326037,kid,8,NA,10,blueshirt,2
NA,kid_11,11,NA,blue car,5658.8,familiar,far,sedan.jpg,firetruck.jpg,NA,20,332201,kid,8,NA,8,bluecar,2
NA,kid_11,11,NA,desk,8974.1,familiar,far,diningtable.jpg,wardrobe.jpg,NA,21,341679,kid,8,NA,4,desk,1
NA,kid_11,11,NA,goldfish,8210.2,familiar,far,goldfish.jpg,iguana.jpg,NA,22,350395,kid,8,NA,8,goldfish,1
NA,kid_11,11,NA,brown bear,6538.8,familiar,far,grizzlybear.jpg,lion.jpg,NA,23,357440,kid,8,NA,10,brownbear,2
NA,kid_11,11,NA,bird,4653.5,familiar,far,sparrow.jpg,squirrel.jpg,NA,24,362602,kid,8,NA,4,bird,1
NA,kid_11,11,NA,dog,4559.6,familiar,far,germanshepherd.jpg,cow.jpg,NA,25,367667,kid,8,NA,3,dog,1
NA,kid_11,11,NA,jellybeans,7566.9,familiar,far,jellybeans.jpg,pretzels.jpg,NA,26,375741,kid,8,NA,10,jellybeans,1
NA,kid_11,11,NA,weird shape,13023.8,tangram,far,tangram-90.jpg,tangram-120.jpg,NA,28,402564,kid,8,NA,11,weirdshape,
NA,kid_11,11,NA,something black,19286.1,tangram,far,H1.jpg,tangram-8.jpg,NA,29,422356,kid,8,NA,15,black,
NA,kid_11,11,NA,dress with diamonds attached to it,18799,tangram,far,A2.jpg,C1.jpg,NA,30,441663,kid,8,NA,34,dresswithdiamondattachtoit,
NA,kid_11,11,NA,head that looks weird,31844.8,tangram,far,tangram-48.jpg,D1.jpg,NA,31,474016,kid,8,NA,21,headthatlookweird,
NA,kid_11,11,NA,person walking,9721,tangram,far,B1.jpg,tangram-4.jpg,NA,32,484244,kid,8,NA,14,walk,
NA,kid_11,11,NA,someone running,7014.2,tangram,far,tangram-55.jpg,tangram-143.jpg,NA,33,491766,kid,8,NA,15,run,
NA,kid_11,11,NA,person running,14634.9,tangram,far,tangram-67.jpg,G1.jpg,NA,34,506908,kid,8,NA,14,run,
NA,kid_11,11,NA,person that looks like hes sitting on an invisible seat,16042.9,tangram,far,tangram-164.jpg,tangram-64.jpg,NA,35,523458,kid,8,NA,55,sitoninvisibleseat,
NA,kid_11,11,NA,small bird,10249.8,familiar,close,sparrow.jpg,eagle.jpg,NA,37,547032,kid,8,NA,10,smallbird,1
NA,kid_11,11,NA,goldfish,5928.2,familiar,close,goldfish.jpg,swordfish.jpg,NA,38,553468,kid,8,NA,8,goldfish,1
NA,kid_11,11,NA,brown bear,10887.5,familiar,close,grizzlybear.jpg,polarbear.jpg,NA,39,564867,kid,8,NA,10,brownbear,1
NA,kid_11,11,NA,desk,6495.6,familiar,close,diningtable.jpg,picnictable.jpg,NA,40,571866,kid,8,NA,4,desk,1
NA,kid_11,11,NA,"white, black, and brown dog",17980.1,familiar,close,germanshepherd.jpg,pug.jpg,NA,41,590355,kid,8,NA,27,whiteblackbrowndog,1
NA,kid_11,11,NA,jellybeans,9256.8,familiar,close,jellybeans.jpg,gummybears.jpg,NA,42,600120,kid,8,NA,10,jellybeans,1
