iterationName,id,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,age_group,age,button_pressed,utt_length,clean_utt
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,brown bear,4178,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,33,264492,adult,NA,NA,10,brownbear
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,goldfish,2415.47,familiar,far,goldfish.jpg,iguana.jpg,survey-text,34,267410,adult,NA,NA,8,goldfish
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,blue sedan,6299.795,familiar,far,sedan.jpg,firetruck.jpg,survey-text,35,274214,adult,NA,NA,10,bluesedan
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,blue polo,5251.175,familiar,far,poloshirt.jpg,dress.jpg,survey-text,36,279968,adult,NA,NA,9,bluepolo
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,small bird,3031.845,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,37,283510,adult,NA,NA,10,smallbird
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,sneaky sprint,5533.115,tangram,isolated,tangram-55.jpg,N1.jpg,survey-text,39,292614,adult,NA,NA,13,sneakysprint
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,squat kick,19770.91,tangram,isolated,tangram-164.jpg,tangram-183.jpg,survey-text,40,312894,adult,NA,NA,10,squatkick
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,overhead throw,4076.735,tangram,isolated,A2.jpg,tangram-99.jpg,survey-text,41,317473,adult,NA,NA,14,overheadthrow
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,triangle sprinting,6154.805,tangram,isolated,tangram-67.jpg,tangram-32.jpg,survey-text,42,324131,adult,NA,NA,18,trianglesprint
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,dejected walk,2250.26,tangram,isolated,B1.jpg,P1.jpg,survey-text,43,326883,adult,NA,NA,13,dejectwalk
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,triangle walking,20119.27,tangram,isolated,tangram-90.jpg,tangram-81.jpg,survey-text,44,347506,adult,NA,NA,16,trianglewalk
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,horizontal kick,10510.91,tangram,isolated,tangram-48.jpg,tangram-187.jpg,survey-text,45,358522,adult,NA,NA,15,horizontalkick
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,beggar,5826.7,tangram,isolated,H1.jpg,I1.jpg,survey-text,46,364852,adult,NA,NA,6,beggar
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,triangle walking,6207.125,tangram,close,tangram-90.jpg,tangram-81.jpg,survey-text,48,376555,adult,NA,NA,16,trianglewalk
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,triangle sprinting,10402.43,tangram,close,tangram-67.jpg,tangram-32.jpg,survey-text,49,387465,adult,NA,NA,18,trianglesprint
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,horizontal kick,6297.135,tangram,close,tangram-48.jpg,tangram-187.jpg,survey-text,50,394272,adult,NA,NA,15,horizontalkick
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,beggar,4920.605,tangram,close,H1.jpg,I1.jpg,survey-text,51,399703,adult,NA,NA,6,beggar
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,overhead throw,4306.965,tangram,close,A2.jpg,tangram-99.jpg,survey-text,52,404513,adult,NA,NA,14,overheadthrow
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,dejected walk,4674.92,tangram,close,B1.jpg,P1.jpg,survey-text,53,409690,adult,NA,NA,13,dejectwalk
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,sneaky sprint,4420.595,tangram,close,tangram-55.jpg,N1.jpg,survey-text,54,414613,adult,NA,NA,13,sneakysprint
pilot2,adult_1,1,3CFJTT4SXUF1D2GSR28PLOG55D4I71,horizontal kick,6414.815,tangram,close,tangram-164.jpg,tangram-183.jpg,survey-text,55,421545,adult,NA,NA,15,horizontalkick
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,golden fish,5702.46,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,3,23047,adult,NA,NA,11,goldenfish
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,plain t shirt,7215.35,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,4,30779,adult,NA,NA,13,plaintshirt
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,blue car,8118.795,familiar,close,sedan.jpg,sportscar.jpg,survey-text,5,39423,adult,NA,NA,8,bluecar
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,german shephard,5192.175,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,6,45127,adult,NA,NA,15,germanshephard
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,mnms,3622.295,familiar,close,mnms.jpg,gummybears.jpg,survey-text,7,49264,adult,NA,NA,4,mnms
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,wild bear,7117.8,familiar,close,grizzlybear.jpg,polarbear.jpg,survey-text,8,56896,adult,NA,NA,9,wildbear
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,pigeon,9273.655,familiar,close,sparrow.jpg,eagle.jpg,survey-text,9,66683,adult,NA,NA,6,pigeon
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,table,4445.87,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,10,71644,adult,NA,NA,5,table
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,bird,3285.015,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,12,78254,adult,NA,NA,4,bird
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,dog,2850.56,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,13,81617,adult,NA,NA,3,dog
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,mnms,3000.615,familiar,far,mnms.jpg,pretzels.jpg,survey-text,14,85130,adult,NA,NA,4,mnms
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,table,2998.2,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,15,88646,adult,NA,NA,5,table
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,men tshirt,4522.3,familiar,far,poloshirt.jpg,dress.jpg,survey-text,16,93690,adult,NA,NA,10,mantshirt
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,car,3321.075,familiar,far,sedan.jpg,firetruck.jpg,survey-text,17,97543,adult,NA,NA,3,car
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,bear,3108.445,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,18,101176,adult,NA,NA,4,bear
