iterationName,id,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,age_group,age,button_pressed,utt_length,clean_utt
NA,kid_52,52,NA,brown bird,14152.5,familiar,close,sparrow.jpg,eagle.jpg,NA,24,1715183,kid,8,NA,10,brownbird
NA,kid_52,52,NA,dog with black spots,13424.9,familiar,close,germanshepherd.jpg,pug.jpg,NA,25,1729115,kid,8,NA,20,dogwithblackspot
NA,kid_52,52,NA,jellybeans,4740.3,familiar,close,jellybeans.jpg,gummybears.jpg,NA,26,1734362,kid,8,NA,10,jellybeans
NA,kid_52,52,NA,many shapes,7840.7,tangram,far,A2.jpg,C1.jpg,NA,28,1754645,kid,8,NA,11,manyshape
NA,kid_52,52,NA,person kicking their leg,9074,tangram,far,tangram-48.jpg,D1.jpg,NA,29,1764226,kid,8,NA,24,kicktheirleg
NA,kid_52,52,NA,walking person,7053.7,tangram,far,tangram-164.jpg,tangram-64.jpg,NA,30,1771784,kid,8,NA,14,walk
NA,kid_52,52,NA,sad person,6862.6,tangram,far,B1.jpg,tangram-4.jpg,NA,31,1779151,kid,8,NA,10,sad
NA,kid_52,52,NA,a dancing person,7164.3,tangram,far,tangram-90.jpg,tangram-120.jpg,NA,32,1786821,kid,8,NA,16,dance
NA,kid_52,52,NA,a kneeling person,6080.1,tangram,far,tangram-67.jpg,G1.jpg,NA,33,1793406,kid,8,NA,17,kneel
NA,kid_52,52,NA,a running person,7716.5,tangram,far,tangram-55.jpg,tangram-143.jpg,NA,34,1801629,kid,8,NA,16,run
NA,kid_52,52,NA,praying person,5473.1,tangram,far,H1.jpg,tangram-8.jpg,NA,35,1807606,kid,8,NA,14,pray
NA,kid_52,52,NA,jellybeans,5301,familiar,far,jellybeans.jpg,pretzels.jpg,NA,37,1825371,kid,8,NA,10,jellybeans
NA,kid_52,52,NA,blue car,4617.8,familiar,far,sedan.jpg,firetruck.jpg,NA,38,1830495,kid,8,NA,8,bluecar
NA,kid_52,52,NA,dog,6106.6,familiar,far,germanshepherd.jpg,cow.jpg,NA,39,1837106,kid,8,NA,3,dog
NA,kid_52,52,NA,bear,3756.9,familiar,far,grizzlybear.jpg,lion.jpg,NA,40,1841370,kid,8,NA,4,bear
NA,kid_52,52,NA,fish,3600.5,familiar,far,goldfish.jpg,iguana.jpg,NA,41,1845477,kid,8,NA,4,fish
NA,kid_52,52,NA,table,3713,familiar,far,diningtable.jpg,wardrobe.jpg,NA,42,1849696,kid,8,NA,5,table
NA,kid_52,52,NA,bird,3759.4,familiar,far,sparrow.jpg,squirrel.jpg,NA,43,1853959,kid,8,NA,4,bird
NA,kid_52,52,NA,shirt,3679.4,familiar,far,poloshirt.jpg,dress.jpg,NA,44,1858142,kid,8,NA,5,shirt
NA,kid_52,52,NA,kicking person,6628.6,tangram,close,tangram-48.jpg,tangram-187.jpg,NA,46,1877842,kid,8,NA,14,kick
NA,kid_52,52,NA,praying person,4775.3,tangram,close,H1.jpg,I1.jpg,NA,47,1883124,kid,8,NA,14,pray
NA,kid_52,52,NA,running,5034.5,tangram,close,tangram-67.jpg,tangram-32.jpg,NA,48,1888662,kid,8,NA,7,run
NA,kid_52,52,NA,running,6195.8,tangram,close,A2.jpg,tangram-99.jpg,NA,49,1895364,kid,8,NA,7,run
NA,kid_52,52,NA,sad,4092.3,tangram,close,B1.jpg,P1.jpg,NA,50,1899959,kid,8,NA,3,sad
NA,kid_52,52,NA,dancing,6109.1,tangram,close,tangram-164.jpg,tangram-183.jpg,NA,51,1906571,kid,8,NA,7,dance
NA,kid_52,52,NA,dancing,5731.4,tangram,close,tangram-90.jpg,tangram-81.jpg,NA,52,1912809,kid,8,NA,7,dance
NA,kid_52,52,NA,running,4487.6,tangram,close,tangram-55.jpg,N1.jpg,NA,53,1917804,kid,8,NA,7,run
NA,kid_52,52,NA,red flower,6284.8,familiar,check,rose.jpg,daisy.jpg,NA,55,1962659,kid,8,0,10,redflower
NA,kid_52,52,NA,bear,5982.7,familiar,check,firetruck.jpg,ambulance.jpg,NA,56,1969147,kid,8,1,4,bear
NA,kid_52,52,NA,shirt,6565.1,familiar,check,dressshirt.jpg,campshirt.jpg,NA,57,1976216,kid,8,1,5,shirt
NA,kid_52,52,NA,dog,6705.4,familiar,check,husky.jpg,dalmatian.jpg,NA,58,1983427,kid,8,1,3,dog
NA,kid_52,52,NA,bird,6619.6,familiar,check,parrot.jpg,pigeon.jpg,NA,59,1990548,kid,8,1,4,bird
