iterationName,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,anonymized_id
testing,BENCH,2859.999999869615,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,42,316048,13
testing,BEAR,1989.9999999906868,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,43,318548,13
testing,fish,2536.725000012666,familiar,far,goldfish.jpg,iguana.jpg,survey-text,48,295683,9
testing,FISH,2285.999999847263,familiar,far,goldfish.jpg,iguana.jpg,survey-text,44,321345,13
testing,candy,3399.814999953378,familiar,far,mnms.jpg,pretzels.jpg,survey-text,49,299586,9
testing,CAR,1927.9999998398125,familiar,far,sedan.jpg,firetruck.jpg,survey-text,45,323779,13
testing,shirt,2160.9499999904074,familiar,far,poloshirt.jpg,dress.jpg,survey-text,50,302251,9
testing,NA,1894.9999997857958,NA,NA,NA,NA,html-button-response,46,326175,13
testing,bear,1913.5999999707565,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,51,304674,9
testing,bird,1968.3300000033341,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,52,307146,9
testing,table,1760.2150000166148,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,53,309410,9
testing,dog,1449.544999981299,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,54,311363,9
testing,BEGGING,8293.00000006333,tangram,isolated,K1.jpg,T1.jpg,survey-text,47,334979,13
testing,SITTING,3145.0000000186265,tangram,isolated,G1.jpg,M1.jpg,survey-text,48,338637,13
testing,ENJOYABLE,7101.9999999552965,tangram,isolated,F1.jpg,W1.jpg,survey-text,49,346252,13
testing,BEGGING,3719.9999999720603,tangram,isolated,I1.jpg,J1.jpg,survey-text,50,350476,13
testing,WALKING,6614.999999990687,tangram,isolated,A1.jpg,A2.jpg,survey-text,51,357637,13
testing,BEGGING,7554.000000003725,tangram,isolated,H1.jpg,Y1.jpg,survey-text,52,365698,13
testing,ENJOYABLE,5503.000000026077,tangram,isolated,E1.jpg,F1.jpg,survey-text,53,371716,13
