"","iterationName","wID","aID","utterance","rt","target_type","competitor_type","target","foil","trial_type","trial_index","time_elapsed","utt_length","clean_utt"
"29","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","goldfish",2415.47000000719,"familiar","far","goldfish.jpg","iguana.jpg","survey-text",34,267410,8,"goldfish"
"30","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","blue sedan",6299.79499999899,"familiar","far","sedan.jpg","firetruck.jpg","survey-text",35,274214,10,"bluesedan"
"31","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","blue polo",5251.17499998305,"familiar","far","poloshirt.jpg","dress.jpg","survey-text",36,279968,9,"bluepolo"
"32","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","small bird",3031.84500001953,"familiar","far","sparrow.jpg","squirrel.jpg","survey-text",37,283510,10,"smallbird"
"33","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","sneaky sprint",5533.11499999836,"tangram","isolated","tangram-55.jpg","N1.jpg","survey-text",39,292614,13,"sneakysprint"
"34","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","squat kick",19770.909999992,"tangram","isolated","tangram-164.jpg","tangram-183.jpg","survey-text",40,312894,10,"squatkick"
"35","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","overhead throw",4076.73500000965,"tangram","isolated","A2.jpg","tangram-99.jpg","survey-text",41,317473,14,"overheadthrow"
"36","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","triangle sprinting",6154.8049999983,"tangram","isolated","tangram-67.jpg","tangram-32.jpg","survey-text",42,324131,18,"trianglesprint"
"37","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","dejected walk",2250.26000000071,"tangram","isolated","B1.jpg","P1.jpg","survey-text",43,326883,13,"dejectwalk"
"38","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","triangle walking",20119.2700000247,"tangram","isolated","tangram-90.jpg","tangram-81.jpg","survey-text",44,347506,16,"trianglewalk"
"39","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","horizontal kick",10510.9100000118,"tangram","isolated","tangram-48.jpg","tangram-187.jpg","survey-text",45,358522,15,"horizontalkick"
"40","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","beggar",5826.70000000508,"tangram","isolated","H1.jpg","I1.jpg","survey-text",46,364852,6,"beggar"
"41","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","triangle walking",6207.12499998626,"tangram","close","tangram-90.jpg","tangram-81.jpg","survey-text",48,376555,16,"trianglewalk"
"42","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","triangle sprinting",10402.4300000165,"tangram","close","tangram-67.jpg","tangram-32.jpg","survey-text",49,387465,18,"trianglesprint"
"43","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","horizontal kick",6297.13500000071,"tangram","close","tangram-48.jpg","tangram-187.jpg","survey-text",50,394272,15,"horizontalkick"
"44","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","beggar",4920.60499999207,"tangram","close","H1.jpg","I1.jpg","survey-text",51,399703,6,"beggar"
"45","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","overhead throw",4306.96499999613,"tangram","close","A2.jpg","tangram-99.jpg","survey-text",52,404513,14,"overheadthrow"
"46","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","dejected walk",4674.92000001948,"tangram","close","B1.jpg","P1.jpg","survey-text",53,409690,13,"dejectwalk"
"47","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","sneaky sprint",4420.59500000323,"tangram","close","tangram-55.jpg","N1.jpg","survey-text",54,414613,13,"sneakysprint"
"48","pilot2",1,"3CFJTT4SXUF1D2GSR28PLOG55D4I71","horizontal kick",6414.81499999645,"tangram","close","tangram-164.jpg","tangram-183.jpg","survey-text",55,421545,15,"horizontalkick"
"49","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","golden fish",5702.46000005864,"familiar","close","goldfish.jpg","swordfish.jpg","survey-text",3,23047,11,"goldenfish"
"50","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","plain t shirt",7215.34999995492,"familiar","close","poloshirt.jpg","hawaiishirt.jpg","survey-text",4,30779,13,"plaintshirt"
"51","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","blue car",8118.79500001669,"familiar","close","sedan.jpg","sportscar.jpg","survey-text",5,39423,8,"bluecar"
"52","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","german shephard",5192.17499997467,"familiar","close","germanshepherd.jpg","pug.jpg","survey-text",6,45127,15,"germanshephard"
"53","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","mnms",3622.29499989189,"familiar","close","mnms.jpg","gummybears.jpg","survey-text",7,49264,4,"mnms"
"54","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","wild bear",7117.79999989085,"familiar","close","grizzlybear.jpg","polarbear.jpg","survey-text",8,56896,9,"wildbear"
"55","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","pigeon",9273.65500014275,"familiar","close","sparrow.jpg","eagle.jpg","survey-text",9,66683,6,"pigeon"
"56","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","table",4445.86999993771,"familiar","close","diningtable.jpg","picnictable.jpg","survey-text",10,71644,5,"table"
"57","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","bird",3285.0150000304,"familiar","far","sparrow.jpg","squirrel.jpg","survey-text",12,78254,4,"bird"
"58","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","dog",2850.5600001663,"familiar","far","germanshepherd.jpg","cow.jpg","survey-text",13,81617,3,"dog"
"59","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","mnms",3000.6150000263,"familiar","far","mnms.jpg","pretzels.jpg","survey-text",14,85130,4,"mnms"
"60","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","table",2998.20000003092,"familiar","far","diningtable.jpg","wardrobe.jpg","survey-text",15,88646,5,"table"
"61","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","men tshirt",4522.29999983683,"familiar","far","poloshirt.jpg","dress.jpg","survey-text",16,93690,10,"mantshirt"
"62","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","car",3321.07499986887,"familiar","far","sedan.jpg","firetruck.jpg","survey-text",17,97543,3,"car"
"63","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","bear",3108.44499990344,"familiar","far","grizzlybear.jpg","lion.jpg","survey-text",18,101176,4,"bear"
"64","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","fish",3265.38999984041,"familiar","far","goldfish.jpg","iguana.jpg","survey-text",19,104956,4,"fish"
"65","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","mnms",2594.93500017561,"familiar","isolated","mnms.jpg","gummybears.jpg","survey-text",21,111385,4,"mnms"
"66","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","dog",2299.79999992065,"familiar","isolated","germanshepherd.jpg","pug.jpg","survey-text",22,114215,3,"dog"
"67","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","tshirt",5813.6199999135,"familiar","isolated","poloshirt.jpg","hawaiishirt.jpg","survey-text",23,120541,6,"tshirt"
"68","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","table",3719.29499995895,"familiar","isolated","diningtable.jpg","picnictable.jpg","survey-text",24,124777,5,"table"
"69","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","car",1886.25500001945,"familiar","isolated","sedan.jpg","sportscar.jpg","survey-text",25,127176,3,"car"
"70","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","fish",2516.09500008635,"familiar","isolated","goldfish.jpg","swordfish.jpg","survey-text",26,130216,4,"fish"
"71","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","bear",2570.74499991722,"familiar","isolated","grizzlybear.jpg","polarbear.jpg","survey-text",27,133297,4,"bear"
"72","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","bird",2577.724999981,"familiar","isolated","sparrow.jpg","eagle.jpg","survey-text",28,136396,4,"bird"
"73","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","walking",2338.24499999173,"tangram","close","B1.jpg","P1.jpg","survey-text",30,141757,7,"walk"
"74","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","rnning",2027.14999997988,"tangram","close","tangram-55.jpg","N1.jpg","survey-text",31,144296,6,"rnning"
"75","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","jaywalking",7393.66999990307,"tangram","close","tangram-48.jpg","tangram-187.jpg","survey-text",32,152216,10,"jaywalking"
"76","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","holding pot",5116.82000011206,"tangram","close","H1.jpg","I1.jpg","survey-text",33,157846,11,"holdpot"
"77","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","falling",4146.79999998771,"tangram","close","tangram-164.jpg","tangram-183.jpg","survey-text",34,162511,7,"fall"
"78","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","running",5012.8450000193,"tangram","close","tangram-67.jpg","tangram-32.jpg","survey-text",35,168036,7,"run"
"79","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","walking backwards",3723.19000004791,"tangram","close","A2.jpg","tangram-99.jpg","survey-text",36,172277,17,"walkbackwards"
"80","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","walking fast",4954.81000002474,"tangram","close","tangram-90.jpg","tangram-81.jpg","survey-text",37,177753,12,"walkfast"
