iterationName,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed
full_sample,55,3SB4CE2TJWKGMZ3LXRKAYP5AKZZAXX,pacing,13971.495000005234,tangram,isolated,tangram-81.jpg,NA,survey-text,24,609704
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,swing,4924.944999977015,tangram,isolated,tangram-99.jpg,NA,survey-text,7,38219
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,standing,5916,tangram,isolated,C2.jpg,NA,survey-text,10,91892
full_sample,97,3R6P78PK7L0AF974EHBN58V75YNTG8,cheerleader,7318.874999997206,tangram,isolated,tangram-106.jpg,NA,survey-text,13,190307
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,fall,3010.520000010729,tangram,isolated,tangram-53.jpg,NA,survey-text,8,41732
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,serving,3597,tangram,isolated,I1.jpg,NA,survey-text,11,95993
full_sample,101,3E337GFOLAXCKW2KHLPBW9PFGG3NG3,man,4917.999999830499,tangram,isolated,tangram-6.jpg,NA,survey-text,7,91832
full_sample,108,3II4UPYCOKWUB95LVNGKUIHN8Z8QDH,strawberry,8623.650000001362,catch,NA,catch_trial.jpg,NA,survey-text,17,196526
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,lay,2493.900000001304,tangram,isolated,D1.jpg,NA,survey-text,9,44728
full_sample,55,3SB4CE2TJWKGMZ3LXRKAYP5AKZZAXX,poitning,6855.32499999681,tangram,isolated,tangram-108.jpg,NA,survey-text,25,617064
full_sample,97,3R6P78PK7L0AF974EHBN58V75YNTG8,student,6356.980000040494,tangram,isolated,tangram-155.jpg,NA,survey-text,14,197179
full_sample,84,3RXCAC0YISERHPFGBJ0SECZKRL2G86,Walk,14988.429999910295,tangram,isolated,tangram-171.jpg,NA,survey-text,25,283268
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,handstand,5080,tangram,isolated,tangram-155.jpg,NA,survey-text,12,101575
full_sample,101,3E337GFOLAXCKW2KHLPBW9PFGG3NG3,mother,5436.999999918044,tangram,isolated,tangram-143.jpg,NA,survey-text,8,97784
full_sample,51,3Z4XG4ZF49G23BA60T0W2YZFUBY8XQ,Girl picture,21345.75999993831,tangram,isolated,tangram-103.jpg,NA,survey-text,11,156520
