_id,iterationName,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed
ObjectId(6023107fbcc57556719dc60f),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,man,4609.049999999115,tangram,isolated,tangram-99.jpg,NA,survey-text,4,623885
ObjectId(60231085bcc57556719dc610),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,animal,5349.450000008801,tangram,isolated,tangram-155.jpg,NA,survey-text,5,629743
ObjectId(6023108abcc57556719dc611),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,dance,4471.595000009984,tangram,isolated,tangram-30.jpg,NA,survey-text,6,634724
ObjectId(60231092bcc57556719dc612),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,paly,7509.330000000773,tangram,isolated,tangram-87.jpg,NA,survey-text,7,642747
ObjectId(60231097bcc57556719dc613),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,run,4360.9400000132155,tangram,isolated,A1.jpg,NA,survey-text,8,647615
ObjectId(6023109dbcc57556719dc614),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,free,5391.754999989644,tangram,isolated,V1.jpg,NA,survey-text,9,653518
ObjectId(602310a5bcc57556719dc615),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,wo,7707.025000010617,tangram,isolated,F1.jpg,NA,survey-text,10,661736
ObjectId(602310abbcc57556719dc616),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,stop,5130.925000004936,tangram,isolated,tangram-108.jpg,NA,survey-text,11,667376
ObjectId(602310b2bcc57556719dc617),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,show,6863.515000004554,tangram,isolated,tangram-103.jpg,NA,survey-text,12,674769
ObjectId(602310babcc57556719dc618),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,rrs,7655.4049999977,tangram,isolated,tangram-4.jpg,NA,survey-text,13,682950
