"rt","utterance","target","foil","responses","competitor_type","target_type","test_part","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","id","age","button_pressed"
"7327","table","diningtable.jpg","picnictable.jpg","{""Q0"":""table""}","close","familiar","trial","paired","survey-text","19","1132178","0.0-19.0-0.0","3","5",""
"6393.700000047684","bird","sparrow.jpg","eagle.jpg","{""Q0"":""bird""}","close","familiar","trial","paired","survey-text","20","1139078","0.0-19.0-0.1","3","5",""
"3992.400000035763","fish","goldfish.jpg","swordfish.jpg","{""Q0"":""fish""}","close","familiar","trial","paired","survey-text","21","1143580","0.0-19.0-0.2","3","5",""
"4213.099999964237","dog","germanshepherd.jpg","pug.jpg","{""Q0"":""dog""}","close","familiar","trial","paired","survey-text","22","1148303","0.0-19.0-0.3","3","5",""
"4816.899999976158","shirt","poloshirt.jpg","hawaiishirt.jpg","{""Q0"":""shirt""}","close","familiar","trial","paired","survey-text","23","1153625","0.0-19.0-0.4","3","5",""
"5077.600000023842","blue car","sedan.jpg","sportscar.jpg","{""Q0"":""blue car""}","close","familiar","trial","paired","survey-text","24","1159209","0.0-19.0-0.5","3","5",""
"4574.600000023842","bear","grizzlybear.jpg","polarbear.jpg","{""Q0"":""bear""}","close","familiar","trial","paired","survey-text","25","1164288","0.0-19.0-0.6","3","5",""
"5564","jellybeans","jellybeans.jpg","gummybears.jpg","{""Q0"":""jellybeans""}","close","familiar","trial","paired","survey-text","26","1170359","0.0-19.0-0.7","3","5",""
"10959.100000023842","diamond","H1.jpg","I1.jpg","{""Q0"":""diamond""}","close","tangram","trial","paired","survey-text","28","1194817","0.0-21.0-0.0","3","5",""
"7070","square","tangram-48.jpg","tangram-187.jpg","{""Q0"":""square""}","close","tangram","trial","paired","survey-text","29","1202397","0.0-21.0-0.1","3","5",""
"6086.600000023842","square","tangram-164.jpg","tangram-183.jpg","{""Q0"":""square""}","close","tangram","trial","paired","survey-text","30","1208989","0.0-21.0-0.2","3","5",""
"8089.199999988079","rectangle","B1.jpg","P1.jpg","{""Q0"":""rectangle""}","close","tangram","trial","paired","survey-text","31","1217583","0.0-21.0-0.3","3","5",""
"9445.100000023842","diamond","A2.jpg","tangram-99.jpg","{""Q0"":""diamond""}","close","tangram","trial","paired","survey-text","32","1227537","0.0-21.0-0.4","3","5",""
"6582.400000035763","square","tangram-90.jpg","tangram-81.jpg","{""Q0"":""square""}","close","tangram","trial","paired","survey-text","33","1234628","0.0-21.0-0.5","3","5",""
"6724.5","square","tangram-55.jpg","N1.jpg","{""Q0"":""square""}","close","tangram","trial","paired","survey-text","34","1241859","0.0-21.0-0.6","3","5",""
"5710.5","diamond","tangram-67.jpg","tangram-32.jpg","{""Q0"":""diamond""}","close","tangram","trial","paired","survey-text","35","1248075","0.0-21.0-0.7","3","5",""
"5673.799999952316","shirt","poloshirt.jpg","dress.jpg","{""Q0"":""shirt""}","far","familiar","trial","paired","survey-text","37","1266258","0.0-23.0-0.0","3","5",""
"4440.900000035763","bird","sparrow.jpg","squirrel.jpg","{""Q0"":""bird""}","far","familiar","trial","paired","survey-text","38","1271202","0.0-23.0-0.1","3","5",""
"4153","table","diningtable.jpg","wardrobe.jpg","{""Q0"":""table""}","far","familiar","trial","paired","survey-text","39","1275862","0.0-23.0-0.2","3","5",""
"4052.2999999523163","fish","goldfish.jpg","iguana.jpg","{""Q0"":""fish""}","far","familiar","trial","paired","survey-text","40","1280421","0.0-23.0-0.3","3","5",""
"4862.800000011921","car","sedan.jpg","firetruck.jpg","{""Q0"":""car""}","far","familiar","trial","paired","survey-text","41","1285790","0.0-23.0-0.4","3","5",""
"6178.400000035763","jellybeans","jellybeans.jpg","pretzels.jpg","{""Q0"":""jellybeans""}","far","familiar","trial","paired","survey-text","42","1292475","0.0-23.0-0.5","3","5",""
"4544.5","dog","germanshepherd.jpg","cow.jpg","{""Q0"":""dog""}","far","familiar","trial","paired","survey-text","43","1297528","0.0-23.0-0.6","3","5",""
"5212.800000011921","bear","grizzlybear.jpg","lion.jpg","{""Q0"":""bear""}","far","familiar","trial","paired","survey-text","44","1303248","0.0-23.0-0.7","3","5",""
"9477.800000011921","square","tangram-48.jpg","D1.jpg","{""Q0"":""square""}","far","tangram","trial","paired","survey-text","46","1324541","0.0-25.0-0.0","3","5",""
"8890.199999988079","square","tangram-55.jpg","tangram-143.jpg","{""Q0"":""square""}","far","tangram","trial","paired","survey-text","47","1333935","0.0-25.0-0.1","3","5",""
"12055.5","square that looks like human","tangram-90.jpg","tangram-120.jpg","{""Q0"":""square that looks like human""}","far","tangram","trial","paired","survey-text","48","1346495","0.0-25.0-0.2","3","5",""
"11430.5","diamond","tangram-67.jpg","G1.jpg","{""Q0"":""diamond""}","far","tangram","trial","paired","survey-text","49","1358434","0.0-25.0-0.3","3","5",""
"6296.300000011921","diamond","B1.jpg","tangram-4.jpg","{""Q0"":""diamond""}","far","tangram","trial","paired","survey-text","50","1365235","0.0-25.0-0.4","3","5",""
"6873.900000035763","square","tangram-164.jpg","tangram-64.jpg","{""Q0"":""square""}","far","tangram","trial","paired","survey-text","51","1372618","0.0-25.0-0.5","3","5",""
